GEOGRAPHY,ECODE,AREA_NAME,BAND,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
REGL,E12000002,NORTH WEST,A,"369,940","107,200","91,750","119,540","130,850","113,370","114,340","120,370","61,130","39,350","36,490","14,970","12,720","1,332,020"
REGL,E12000002,NORTH WEST,B,"91,280","38,590","40,100","93,870","44,650","53,310","61,190","51,000","42,630","40,170","61,330","18,050","5,430","641,580"
REGL,E12000002,NORTH WEST,C,"48,510","19,700","32,370","100,840","23,960","85,680","81,360","43,080","32,480","30,250","44,720","12,760","4,450","560,170"
REGL,E12000002,NORTH WEST,D,"31,430","11,460","16,080","40,370","9,760","38,060","39,300","29,300","30,600","29,980","35,940","7,750","3,700","323,720"
REGL,E12000002,NORTH WEST,E,"23,140","6,390","7,450","15,310","4,670","18,520","20,650","19,030","20,210","21,710","22,110","4,740","3,090","187,040"
REGL,E12000002,NORTH WEST,F,"15,270","3,710","3,600","7,380","2,640","8,330","8,510","8,470","8,880","9,710","10,440","2,430","1,890","91,260"
REGL,E12000002,NORTH WEST,G,"14,510","3,070","2,960","5,110","1,620","4,090","3,640","4,660","4,730","5,740","6,930","1,390","1,840","60,280"
REGL,E12000002,NORTH WEST,H,"1,860",360,290,420,110,230,180,230,340,610,"1,070",340,610,"6,650"
REGL,E12000003,YORKSHIRE AND THE HUMBER,All,"390,050","132,350","141,470","275,660","170,380","258,870","237,490","219,210","144,840","123,410","175,220","56,420","38,610","2,363,970"
REGL,E12000003,YORKSHIRE AND THE HUMBER,A,"211,740","85,320","87,310","115,400","117,270","113,440","88,560","87,530","37,410","23,030","32,800","14,260","15,760","1,029,820"
REGL,E12000003,YORKSHIRE AND THE HUMBER,B,"68,340","21,780","23,910","75,750","28,760","48,740","48,050","43,550","30,020","24,710","40,110","15,290","6,440","475,450"
REGL,E12000003,YORKSHIRE AND THE HUMBER,C,"39,370","10,770","15,440","51,190","13,770","59,120","56,970","39,420","29,000","23,700","38,130","10,910","4,850","392,620"
REGL,E12000003,YORKSHIRE AND THE HUMBER,D,"26,710","6,250","7,630","18,490","5,440","21,290","23,170","24,130","23,480","22,910","30,560","7,120","4,400","221,560"
REGL,E12000003,YORKSHIRE AND THE HUMBER,E,"20,400","4,160","4,090","8,480","2,890","9,670","13,090","15,180","15,130","17,190","19,100","4,780","3,250","137,400"
REGL,E12000003,YORKSHIRE AND THE HUMBER,F,"12,690","2,270","1,790","3,950","1,500","4,390","5,220","6,430","6,480","7,690","9,260","2,500","1,950","66,110"
REGL,E12000003,YORKSHIRE AND THE HUMBER,G,"9,600","1,650","1,200","2,270",700,"2,120","2,340","2,870","3,200","3,940","4,860","1,390","1,500","37,650"
REGL,E12000003,YORKSHIRE AND THE HUMBER,H,"1,200",160,100,160,60,110,100,100,110,250,400,160,480,"3,370"
REGL,E12000004,EAST MIDLANDS,All,"288,190","89,430","112,550","170,780","157,710","202,890","210,660","223,500","161,900","127,960","174,960","62,540","39,740","2,022,790"
REGL,E12000004,EAST MIDLANDS,A,"153,680","51,920","63,570","52,690","91,830","67,050","61,160","88,260","41,880","23,400","31,600","14,960","14,000","755,980"
REGL,E12000004,EAST MIDLANDS,B,"45,580","18,010","24,260","57,620","38,280","45,370","48,320","51,540","35,970","28,300","40,690","16,480","6,020","456,450"
REGL,E12000004,EAST MIDLANDS,C,"28,780","9,050","13,410","35,110","15,340","53,120","57,900","40,850","31,510","21,950","38,050","12,870","6,100","364,040"
REGL,E12000004,EAST MIDLANDS,D,"20,430","4,960","5,610","14,180","6,780","23,220","25,700","23,700","26,420","24,140","29,050","8,250","4,690","217,130"
REGL,E12000004,EAST MIDLANDS,E,"16,550","2,610","3,020","6,420","3,220","9,230","11,980","11,910","16,830","18,000","19,520","5,650","3,720","128,660"
REGL,E12000004,EAST MIDLANDS,F,"11,560","1,490","1,610","2,980","1,530","3,390","4,020","4,980","6,600","8,370","10,580","2,810","2,540","62,460"
REGL,E12000004,EAST MIDLANDS,G,"10,330","1,260","1,010","1,690",700,"1,460","1,540","2,200","2,610","3,600","5,200","1,360","2,040","34,990"
REGL,E12000004,EAST MIDLANDS,H,"1,300",130,70,90,40,50,40,50,90,190,270,150,620,"3,090"
REGL,E12000005,WEST MIDLANDS,All,"285,540","112,500","138,980","298,570","195,510","303,570","291,550","239,020","165,670","127,060","167,360","62,080","34,940","2,422,340"
REGL,E12000005,WEST MIDLANDS,A,"122,020","54,930","54,330","73,140","86,550","89,790","91,460","72,450","31,800","17,490","29,280","11,950","13,060","748,220"
REGL,E12000005,WEST MIDLANDS,B,"51,850","28,470","44,430","98,970","60,530","61,720","72,410","63,670","36,620","31,590","39,420","17,100","5,250","612,040"
REGL,E12000005,WEST MIDLANDS,C,"32,020","12,730","20,070","74,460","26,940","78,030","70,520","47,380","29,500","24,360","35,170","15,060","4,150","470,380"
REGL,E12000005,WEST MIDLANDS,D,"24,850","7,370","9,550","28,420","10,950","40,720","30,310","26,430","31,790","20,550","26,300","8,350","3,860","269,460"
REGL,E12000005,WEST MIDLANDS,E,"22,070","4,310","5,280","13,120","5,550","19,500","15,970","16,970","21,330","17,650","19,160","5,020","3,270","169,210"
REGL,E12000005,WEST MIDLANDS,F,"15,890","2,350","2,990","6,080","3,210","10,090","7,540","8,150","10,210","9,610","10,560","2,780","2,380","91,850"
REGL,E12000005,WEST MIDLANDS,G,"14,820","2,040","2,130","4,070","1,700","3,520","3,180","3,790","4,240","5,400","6,900","1,560","2,270","55,610"
REGL,E12000005,WEST MIDLANDS,H,"2,010",300,210,310,80,190,180,190,180,420,570,250,700,"5,580"
REGL,E12000006,EAST,All,"283,030","98,210","99,550","196,270","190,520","337,560","313,860","311,570","253,300","177,320","221,750","89,510","28,400","2,600,850"
REGL,E12000006,EAST,A,"57,250","20,450","11,060","17,990","26,280","32,830","42,040","59,130","43,350","17,340","27,080","12,340","5,500","372,620"
REGL,E12000006,EAST,B,"62,140","25,760","22,520","37,170","50,080","55,810","66,540","73,710","62,480","31,290","43,740","16,470","4,790","552,490"
REGL,E12000006,EAST,C,"52,350","22,220","28,140","51,870","60,900","116,630","96,330","78,000","56,020","37,910","50,940","21,860","5,220","678,380"
