"","MSOA11CD","pd_norm","pdiv_norm","Ppla_norm","Pp_norm","r_norm","mixed","ba_norm","log_mix","log_r","log_pop","log_bamean"
"1","E02000001",0.585912572808399,0.214277322116962,0.09250920998772,0.61171000211426,0.896991659232181,0.40009494746268,0.38828999788574,-0.916053391384937,-0.108708715481421,-2.38044707198545,-0.946002801304735
"2","E02000002",0.0103335063174042,0.0542124661278958,0.116250511665984,0.564316284370326,0.173543689060253,0.03227298622265,0.435683715629674,-3.43352473853686,-1.75132590114853,-2.15200783309653,-0.830838721747309
"3","E02000003",0.0341740888157916,0.119016790062838,0.180106426524765,0.334944040658759,0.194696626842589,0.0765954394393149,0.665055959341241,-2.56921774135377,-1.63631269165088,-1.71420734434543,-0.407884092481319
"4","E02000004",0.00521809135518793,0.0311435011788356,0.089643880474826,0.4809264007436,0.18314697923027,0.0181807962670117,0.5190735992564,-4.0073893921264,-1.69746628331255,-2.41191034144124,-0.655709596127719
"5","E02000005",0.0316731231976361,0.13459142612523,0.283258288988948,0.229409881861911,0.333348411365462,0.0831322746614332,0.770590118138089,-2.4873222691113,-1.09856705559475,-1.26139611564007,-0.260598670466789
"6","E02000007",0.0200820723107535,0.0883019196498782,0.195251739664347,0.460785274994914,0.231457922063679,0.0541919959803159,0.539214725005086,-2.91522205708159,-1.46335718412052,-1.6334655803694,-0.617641410771229
"7","E02000008",0.0209908983291542,0.092220130333121,0.321735571019239,0.271031299220816,0.300585109748882,0.0566055143311376,0.728968700779184,-2.87164887217345,-1.20202433799036,-1.13402527882853,-0.31612448235447
"8","E02000009",0.0338580291156483,0.154842079822979,0.345886205485059,0.502089677581639,0.354586568868997,0.0943500544693139,0.497910322418361,-2.36074342985652,-1.03680276290936,-1.06164544390057,-0.697335293638155
"9","E02000010",0.0162430269784419,0.0967823715066963,0.302496930004093,0.283742651649252,0.271890171534037,0.0565126992425691,0.716257348350748,-2.87328990073048,-1.30235707535255,-1.19568415030954,-0.333715751528331
"10","E02000011",0.0323118064251297,0.127027723091519,0.146950470732706,0.503852540884481,0.197575883831138,0.0796697647583246,0.496147459115519,-2.52986512829506,-1.62163254650549,-1.91765968276946,-0.700882099837218
"11","E02000012",0.0206243619237683,0.0946803193785387,0.299222267703643,0.393758062828336,0.305465215523031,0.0576523406511535,0.606241937171664,-2.8533244320305,-1.18591936766153,-1.20656861150796,-0.500476136329541
"12","E02000013",0.0206183164381635,0.112512793417412,0.251739664347114,0.275556089318302,0.300832358220805,0.0665655549277878,0.724443910681698,-2.70956802850283,-1.20120211881975,-1.37935980345122,-0.322350938186997
"13","E02000014",0.0335685729850437,0.138432809776739,0.310683585755219,0.329467884013901,0.342652442665661,0.0860006913808913,0.670532115986099,-2.45339994344826,-1.07103863222725,-1.16898029386211,-0.399683678845088
"14","E02000015",0.0314004143350307,0.126911374282262,0.215309046254605,0.607332655347808,0.316465282646057,0.0791558943086461,0.392667344652192,-2.53633602532496,-1.15054173489611,-1.53568085852003,-0.93479247682172
"15","E02000016",0.137445356925994,0.37775037498627,0.342611543184609,0.455525553114154,0.516662798124812,0.257597865956132,0.544474446885846,-1.35635556911804,-0.660364845265351,-1.07115800076827,-0.607934267212925
"16","E02000017",0.0367459173308638,0.167169093877662,0.385182153090463,0.395409205674827,0.34330055345341,0.101957505604263,0.604590794325173,-2.28319916422755,-1.06914896636305,-0.954038931672361,-0.503203422810963
"17","E02000018",0.0181543526759434,0.0711252763636255,0.256242325010233,0.381901844278131,0.318807843351028,0.0446398145197845,0.618098155721869,-3.10912911594046,-1.14316672963651,-1.36163170015764,-0.481108006107368
"18","E02000019",0.0276355298949512,0.0645415041669285,0.0994678673761768,0.422685561867303,0.278860303361057,0.0460885170309399,0.577314438132697,-3.07719144827312,-1.27704432735436,-2.30792062791719,-0.549368207471021
"19","E02000020",0.0335835401840053,0.0779601413380385,0.0990585345886206,0.426486080413544,0.284099768173966,0.0557718407610219,0.573513919586456,-2.88648618283127,-1.25842980612386,-2.31204434510105,-0.555973071414393
"20","E02000021",0.0246667326998969,0.0599777073828526,0.100286532951289,0.350908996763057,0.204487930750446,0.0423222200413748,0.649091003236943,-3.16244303436341,-1.58724632357616,-2.29972386071301,-0.432182351403979
"21","E02000022",0.0598606085572738,0.213099329103274,0.467867376176832,0.686464098151327,0.523636718343862,0.136479968830274,0.313535901848673,-1.9915774236219,-0.646957120698008,-0.75957040746293,-1.15984140601251
"22","E02000023",0.0322342764353185,0.115823661764519,0.139991813344249,0.619128403614002,0.361429523370378,0.0740289690999187,0.380871596385998,-2.60329878806082,-1.01768821248827,-1.96617133419514,-0.965292978018133
"23","E02000024",0.036640976655524,0.0953171210827747,0.0990585345886206,0.28861797487805,0.191020945873326,0.0659790488691494,0.71138202512195,-2.71841802872742,-1.65537219268994,-2.31204434510105,-0.340545686694573
"24","E02000025",0.0181170987865432,0.0876353486393418,0.123618501841998,0.441364293384744,0.263108880128236,0.0528762237129425,0.558635706615256,-2.93980149837631,-1.33518733959275,-2.09055505388287,-0.58225770589696
"25","E02000026",0.015819853274051,0.0858613837647941,0.164551780597626,0.578300123965099,0.37905230421214,0.0508406185194226,0.421699876034901,-2.97905966673523,-0.97008107758486,-1.80452998263872,-0.863461412194805
"26","E02000027",0.020459944424247,0.0895480154395792,0.222677036430618,0.605289020740806,0.422542294468817,0.0550039799319131,0.394710979259194,-2.90034973396928,-0.861465731943467,-1.5020328244018,-0.929601479980695
"27","E02000028",0.0413092600649287,0.190297380903117,0.227179697093737,0.482974703186928,0.302718809155217,0.115803320484023,0.517025296813072,-2.15586203995362,-1.19495092694237,-1.48201395751131,-0.6596634756648
"28","E02000029",0.0476102375869342,0.177242882716537,0.195251739664347,0.439635687272065,0.399607955371066,0.112426560151736,0.560364312727935,-2.18545506915472,-0.917271324069907,-1.6334655803694,-0.579168148331611
"29","E02000030",0.00183319125686894,0.00111581526748523,0.0139173147769136,0.542025861829988,0.0474727863951655,0.00147450326217708,0.457974138170012,-6.51943411731594,-3.04759865011828,-4.27462154664158,-0.780942563339969
"30","E02000031",0.0384224125723634,0.12373002938532,0.14203847728203,0.466514852279452,0.266069836498659,0.0810762209788416,0.533485147720548,-2.51236556703362,-1.32399646143084,-1.95165729131088,-0.628324047952035
"31","E02000032",0.0204268150170902,0.0947603158249745,0.218174375767499,0.409621594130279,0.297129767662535,0.0575935654210323,0.590378405869721,-2.85434442896089,-1.21358630744806,-1.5224606470919,-0.526991581788685
"32","E02000033",0.0309152333328052,0.131625328217624,0.18501841997544,0.452961230428027,0.346287386923907,0.0812702807752146,0.547038769571973,-2.50997487937847,-1.06048625063411,-1.68729989142551,-0.603235602340581
"33","E02000034",0.0281582609490443,0.125847627238772,0.211625051166598,0.399245074341412,0.261287696312661,0.0770029440939082,0.600754925658588,-2.56391162287357,-1.34213319400634,-1.55293919674931,-0.50956820521717
"34","E02000035",0.0351753403953851,0.16551784486679,0.239459680720426,0.494633479153287,0.315163133830055,0.100346592631087,0.505366520846713,-2.29912515916343,-1.15466488903797,-1.42937022402588,-0.682471329105632
"35","E02000036",0.0242930545108321,0.107299813916022,0.233319688907081,0.514019508892043,0.355264311008458,0.0657964342134271,0.485980491107957,-2.72118963340457,-1.03489322848568,-1.45534571042914,-0.72158679764052
"36","E02000037",0.00701919725686019,0.0283122634129919,0.0802292263610315,0.625648030336923,0.137337596087615,0.017665730334926,0.374351969663077,-4.03612865541252,-1.98531317930951,-2.52286741202722,-0.982558828764384
"37","E02000038",0.0320384672635301,0.11722603923916,0.232501023331969,0.470871082301842,0.365750811238205,0.0746322532513449,0.529128917698158,-2.59518251599467,-1.0058030210715,-1.45886065253659,-0.636523176061381
"38","E02000039",0.0401597901018431,0.146586919498069,0.116250511665984,0.393618805540867,0.261034902325396,0.093373354799956,0.606381194459133,-2.37114925496196,-1.34310115521523,-2.15200783309653,-0.500246456910686
"39","E02000040",0.00636022361229288,0.0231414024522557,0.0454359394187474,0.512417458449028,0.139608738964975,0.0147508130322743,0.487582541550972,-4.21645707688325,-1.96891149057753,-3.09145186994541,-0.718295686874578
"40","E02000041",0.0826123486920971,0.249531851635903,0.255423659435121,0.344700490006302,0.346304665777318,0.166072100164,0.655299509993698,-1.79533324658584,-1.06043635444097,-1.36483170288831,-0.422662880695705
"41","E02000042",0.118946183183393,0.312330086351082,0.347114203847728,0.344030212222545,0.41055699671021,0.215638134767237,0.655969787777455,-1.5341535781892,-0.890240512687307,-1.05810143546584,-0.421640546315917
"42","E02000043",0.0152354042590912,0.083651946552696,0.20261972984036,0.29760977815071,0.215930856656082,0.0494436754058936,0.70239022184929,-3.00692112786174,-1.53279703061719,-1.59642430868905,-0.353266157815518
"43","E02000044",0.0325234634575202,0.15258960025689,0.286532951289398,0.317771144290072,0.29248081780705,0.092556531857205,0.682228855709928,-2.37993566593002,-1.22935619460753,-1.24990173621434,-0.382390111871125
"44","E02000045",0.0222792388943616,0.106429058529758,0.229635693819075,0.489601418950596,0.425300446200573,0.0643541487120598,0.510398581049404,-2.74335387596829,-0.854959427579969,-1.47126116573504,-0.672563327031041
"45","E02000046",0.0905932851743586,0.27283686658942,0.286532951289398,0.250843996575718,0.453689038907539,0.181715075881889,0.749156003424282,-1.70531533574021,-0.790343251943846,-1.24990173621434,-0.288808034877249
"46","E02000047",0.0432114927603114,0.154678513863485,0.315595579205894,0.66862171039758,0.361906318416414,0.098945003311898,0.33137828960242,-2.31319110530916,-1.01636988955293,-1.15329369769441,-1.10449468729308
"47","E02000048",0.0122673735722781,0.0543379833407488,0.118297175603766,0.460477862281363,0.230429891863435,0.0333026784565135,0.539522137718637,-3.40211745110086,-1.46780861958517,-2.13455538314531,-0.617071461356325
"48","E02000049",0.0240913713118363,0.108507818105408,0.429799426934097,0.666529239240804,0.48401307684841,0.0662995947086224,0.333470760759196,-2.71357149480113,-0.725643354348654,-0.844436628106171,-1.09820009135551
"49","E02000050",0.0232692953691681,0.0976485338049644,0.182562423250102,0.369135116413782,0.369255722286886,0.0604589145870663,0.630864883586218,-2.8057912423711,-0.996265860637547,-1.70066311923768,-0.460663569978368
"50","E02000051",0.06311486674968,0.184296856630392,0.232501023331969,0.375238786359544,0.339911616957208,0.123705861690036,0.624761213640456,-2.08984861436819,-1.07906964529068,-1.45886065253659,-0.470385760423825
"51","E02000052",0.0674998524618176,0.263889742751106,0.397871469504707,0.298902437914659,0.416979063597319,0.165694797606462,0.701097562085341,-1.7976077515032,-0.874719265644434,-0.921626266797301,-0.355108226046205
"52","E02000053",0.0414853046350284,0.144871982706927,0.217765042979943,0.804309207077192,0.338679275164198,0.0931786436709775,0.195690792922808,-2.37323672870954,-1.08270171038929,-1.5243385819161,-1.63121945258103
"53","E02000054",0.0172053921715811,0.0958997269036648,0.184609087187884,0.419674133919118,0.414008529593857,0.0565525595376229,0.580325866080882,-2.87258481594785,-0.881868702485346,-1.68951473175506,-0.544165495143103
"54","E02000055",0.0880575734192846,0.208729381223552,0.304543593941875,0.370993373571405,0.418857959450395,0.148393477321418,0.629006626428595,-1.90788790257455,-0.870223415458195,-1.18894103642465,-0.463613487474557
"55","E02000056",0.0190309885017003,0.0551817012577217,0.104789193614409,0.345260703371811,0.235705579827208,0.037106344879711,0.654739296628189,-3.29396730297471,-1.4451717958913,-2.25580462677818,-0.423518142993013
"56","E02000057",0.0418707552153505,0.196487106227726,0.268112975849366,0.386769530580812,0.47108960920809,0.119178930721538,0.613230469419188,-2.12712929566581,-0.752706949965811,-1.31634683562249,-0.489014444016094
"57","E02000058",0.0519168050332488,0.146810688715082,0.218993041342612,0.201598553108017,0.353052200788077,0.0993637468741652,0.798401446891983,-2.30896795142177,-1.04113935539503,-1.51871532436173,-0.225143741747067
"58","E02000059",0.0309330665563989,0.120615560437502,0.183381088825215,0.442410776080163,0.303789863478406,0.0757743134969502,0.557589223919837,-2.57999591583582,-1.19141905514931,-1.69618883884276,-0.584132745547826
"59","E02000060",0.0412053697085019,0.167720515920634,0.350798198935735,0.27900862887308,0.327939230333855,0.104462942814568,0.72099137112692,-2.25892288468242,-1.11492696113562,-1.04754415265996,-0.327128109692632
"60","E02000061",0.0663483123413583,0.193724889160856,0.194842406876791,0.298554857151547,0.341017327106952,0.130036600751107,0.701445142848453,-2.03993932391341,-1.07582199035918,-1.63556421702632,-0.354612582285762
"61","E02000062",0.0599197135998265,0.142469933853034,0.129349160867786,0.359887835059671,0.540492803357675,0.10119482372643,0.640112164940329,-2.29070767238524,-0.615273956778426,-2.04523985767083,-0.446111860264995
"62","E02000063",0.0160823774582925,0.0874293982978528,0.26320098239869,0.527035252863575,0.289317214108691,0.0517558878780726,0.472964747136425,-2.9612170778869,-1.24023156614775,-1.33483734702012,-0.748734423634697
"63","E02000064",0.053204443875796,0.228694871640226,0.310274252967663,0.357624044464842,0.309382532146315,0.140949657758011,0.642375955535158,-1.95935248953415,-1.17317679962403,-1.17029868561537,-0.442581546167198
"64","E02000065",0.0126339759845323,0.0550708268896845,0.0859598853868195,0.579756135333648,0.210824733075681,0.0338524014371084,0.420243864666352,-3.38574533865105,-1.55672813961648,-2.45387454054027,-0.86692010604721
"65","E02000066",0.0130463913004062,0.0672478764523809,0.239050347932869,0.567978969126291,0.43766295168985,0.0401471338763936,0.432021030873709,-3.21520422653236,-0.826306181525477,-1.43108108842951,-0.839281009344955
"66","E02000067",0.0337620204945661,0.115738396058492,0.142857142857143,0.402719881434708,0.35645846622206,0.074750208276529,0.597280118565292,-2.59360328040714,-1.03153755020088,-1.94591014905531,-0.515369065307157
"67","E02000068",0.0457178259125851,0.139415218018394,0.12116250511666,0.471740944164918,0.429877722584362,0.0925665219654896,0.528259055835082,-2.37982773654913,-0.844254476817109,-2.11062261693368,-0.638168479547097
"68","E02000069",0.0169875755064255,0.100255455173402,0.162914449447401,0.487832769302007,0.277088111752999,0.0586215153399139,0.512167230697993,-2.8366534938132,-1.28341973040453,-1.8145300659733,-0.669104084815114
"69","E02000070",0.0119858900176301,0.0554103188586063,0.161686451084732,0.463583575571557,0.313896387255816,0.0336981044381182,0.536416424428443,-3.39031369133286,-1.15869232442055,-1.82209630635662,-0.622844508303561
"70","E02000071",0.0340377593488083,0.14852158625596,0.241506344658207,0.344679346037566,0.333220317682423,0.0912796728023843,0.655320653962435,-2.39382715798355,-1.09895139311025,-1.42085953435798,-0.422630615102179
"71","E02000072",0.0157333226731924,0.0401718664456545,0.0978305362259517,0.593579400156614,0.164455734683338,0.0279525945594234,0.406420599843386,-3.57724525508742,-1.80511383505883,-2.32451851932623,-0.900366695411479
"72","E02000073",0.0209162115604203,0.083659483086611,0.262382316823578,0.364807994679681,0.227070892197086,0.0522878473235157,0.635192005320319,-2.95099129966327,-1.48249300982867,-1.33795261433707,-0.453827955211037
"73","E02000074",0.0213659095117703,0.116760692634273,0.265656979124028,0.559854654245331,0.373883958162889,0.0690633010730217,0.440145345754669,-2.67273178808996,-0.983809802003753,-1.32554935455365,-0.820650275356577
"74","E02000075",0.0165272139589123,0.0829994420511801,0.200163733115023,0.524378087115646,0.246229822154528,0.0497633280050462,0.475621912884354,-3.00047695165731,-1.40148994277647,-1.60861958178287,-0.743132041037756
"75","E02000077",0.0275529195613164,0.113298881173495,0.274662300450266,0.387871265431863,0.226624421154793,0.0704259003674056,0.612128734568137,-2.65319418053173,-1.48446116410876,-1.29221293428606,-0.490812667988866
"76","E02000078",0.0223727736306232,0.082239593592806,0.198935734752354,0.302727712413707,0.256181820333581,0.0523061836117146,0.697272287586293,-2.9506406814067,-1.36186785092252,-1.61477344735725,-0.360579287999689
"77","E02000079",0.0776710273309574,0.178703406376937,0.183381088825215,0.359673251538428,0.304586995430219,0.128187216853947,0.640326748461572,-2.05426345199491,-1.18879853335823,-1.69618883884276,-0.445776688440699
"78","E02000080",0.0594073292940884,0.163513300548538,0.216127711829718,0.350537406770039,0.211020569060895,0.111460314921313,0.649462593229961,-2.19408667142474,-1.55579966655637,-1.53188578755148,-0.431610037709462
"79","E02000081",0.0158296219601138,0.0712372207619996,0.12771182971756,0.593615714784898,0.207814779185408,0.0435334213610567,0.406384285215102,-3.13422632873362,-1.57110808068338,-2.05797888344826,-0.900456051735429
"80","E02000082",0.0224366529836583,0.0845918587002555,0.230863692181744,0.470787193354748,0.337832314599807,0.0535142558419569,0.529212806645252,-2.92780719623985,-1.08520561725418,-1.46592781975968,-0.636364647024227
"81","E02000083",0.030672663563975,0.0892594819635373,0.0949652067130577,0.442481429601841,0.21325933825972,0.0599660727637561,0.557518570398159,-2.8139763306268,-1.54524630337113,-2.35424469959143,-0.584259466071407
"82","E02000084",0.015467898413695,0.0614431213586692,0.155955792058944,0.418711715423413,0.24010662510661,0.0384555098861821,0.581288284576587,-3.25825329326621,-1.42667218302187,-1.85818269613104,-0.542508458311422
"83","E02000085",0.0315372934646007,0.105931501896833,0.187065083913221,0.404998673027583,0.319872446179801,0.0687343976807166,0.595001326972417,-2.67750551101682,-1.13983296834085,-1.67629868036354,-0.519191643233252
"84","E02000086",0.0187353728171597,0.102784712977733,0.189521080638559,0.543413560916374,0.237306460212928,0.0607600428974466,0.456586439083626,-2.80082289524022,-1.43840289208912,-1.66325501717151,-0.783977245100537
"85","E02000087",0.0182514086009013,0.0646416580927333,0.0716332378223496,0.456419347948583,0.186517949555116,0.0414465333468173,0.543580652051417,-3.18335103547458,-1.67922780026609,-2.63619609733423,-0.609577189591295
"86","E02000088",0.0134536528695481,0.0696997101918608,0.146541137945149,0.422682738432561,0.234857096205059,0.0415766815307044,0.577317261567439,-3.18021580900357,-1.4487780510616,-1.92044908485704,-0.549363316847037
"87","E02000089",0.0156266649725014,0.0849609529617715,0.221039705280393,0.5388474968726,0.304053537469731,0.0502938089671365,0.4611525031274,-2.98987329161596,-1.19055148298368,-1.50941293169942,-0.774026481303865
"88","E02000090",0.0590327469735455,0.164509516140325,0.185427752762996,0.416496019305017,0.387508499999295,0.111771131556935,0.583503980694983,-2.19130196665863,-0.948017494947262,-1.68508994577471,-0.538704005179426
"89","E02000091",0.0190608529115636,0.0738438600419708,0.133033155955792,0.527400205587109,0.346589054058089,0.0464523564767672,0.472599794412891,-3.06932808353939,-1.05961548310501,-2.017156888928,-0.74950634924235
"90","E02000092",0.00749131732602,0.0284388989184425,0.0319279574293901,0.581776359761239,0.16969747759706,0.0179651081222313,0.418223640238761,-4.01932383994151,-1.77373797074718,-3.44427324456815,-0.871738965037313
"91","E02000093",0.0360652335483733,0.144687324818891,0.311502251330332,0.430586876319079,0.248353173139162,0.0903762791836323,0.569413123680921,-2.40377344442764,-1.39290346062632,-1.16634871339605,-0.563149056140861
"92","E02000094",0.0499437959929608,0.183976707090513,0.295947605403193,0.529832331125978,0.293753565294236,0.116960251541737,0.470167668874022,-2.14592113231834,-1.22501407642556,-1.21757284909898,-0.75466590561028
"93","E02000095",0.0383502461199017,0.117997697721647,0.250511665984445,0.445038847400927,0.319589876507831,0.0781739719207745,0.554961152599073,-2.54881852672215,-1.14071674109911,-1.38424978874541,-0.588857163002474
"94","E02000096",0.02328743458917,0.101778819468048,0.17846909537454,0.497776820889755,0.189656241939487,0.0625331270286092,0.502223179110245,-2.77205883019962,-1.66254209844665,-1.72333982790871,-0.688710678185884
