"","MSOA11CD","mixed","ba_norm","r_norm","Ppla_norm","index","o_flow","d_flow","sumod","logsumod","cluster"
"1","E02000002",0.03227298622265,0.435683715629674,0.173543689060253,0.116250511665984,0.757750902578561,98,691,789,6.67076632084587,1
"2","E02000003",0.0765954394393149,0.665055959341241,0.194696626842589,0.180106426524765,1.11645445214791,1162,1763,2925,7.98104975966596,1
"3","E02000004",0.0181807962670117,0.5190735992564,0.18314697923027,0.089643880474826,0.810045255228507,161,845,1006,6.91373735065968,1
"4","E02000005",0.0831322746614332,0.770590118138089,0.333348411365462,0.283258288988948,1.47032909315393,121,1229,1350,7.20785987143248,1
"5","E02000007",0.0541919959803159,0.539214725005086,0.231457922063679,0.195251739664347,1.02011638271343,1305,1261,2566,7.85010354517558,1
"6","E02000008",0.0566055143311376,0.728968700779184,0.300585109748882,0.321735571019239,1.40789489587844,509,2062,2571,7.85205020726589,1
"7","E02000009",0.0943500544693139,0.497910322418361,0.354586568868997,0.345886205485059,1.29273315124173,81,1316,1397,7.24208235925696,1
"8","E02000010",0.0565126992425691,0.716257348350748,0.271890171534037,0.302496930004093,1.34715714913145,126,1240,1366,7.21964204013074,1
"9","E02000011",0.0796697647583246,0.496147459115519,0.197575883831138,0.146950470732706,0.920343578437687,606,818,1424,7.26122509197192,1
"10","E02000012",0.0576523406511535,0.606241937171664,0.305465215523031,0.299222267703643,1.26858176104949,207,1545,1752,7.46851327149634,1
"11","E02000013",0.0665655549277878,0.724443910681698,0.300832358220805,0.251739664347114,1.34358148817741,175,1234,1409,7.25063551189868,1
"12","E02000014",0.0860006913808913,0.670532115986099,0.342652442665661,0.310683585755219,1.40986883578787,352,1422,1774,7.48099216286952,1
"13","E02000015",0.0791558943086461,0.392667344652192,0.316465282646057,0.215309046254605,1.0035975678615,256,1011,1267,7.14440718032114,1
"14","E02000016",0.257597865956132,0.544474446885846,0.516662798124812,0.342611543184609,1.6613466541514,3275,1038,4313,8.36938899664784,1
"15","E02000017",0.101957505604263,0.604590794325173,0.34330055345341,0.385182153090463,1.43503100647331,211,1110,1321,7.18614430452233,1
"16","E02000018",0.0446398145197845,0.618098155721869,0.318807843351028,0.256242325010233,1.23778813860292,94,1218,1312,7.17930796950403,1
"17","E02000019",0.0460885170309399,0.577314438132697,0.278860303361057,0.0994678673761768,1.00173112590087,1278,1149,2427,7.7944112057266,1
"18","E02000020",0.0557718407610219,0.573513919586456,0.284099768173966,0.0990585345886206,1.01244406311006,1791,1333,3124,8.04686951095958,1
"19","E02000021",0.0423222200413748,0.649091003236943,0.204487930750446,0.100286532951289,0.996187686980053,1388,1121,2509,7.82763954636642,1
"20","E02000022",0.136479968830274,0.313535901848673,0.523636718343862,0.467867376176832,1.44151996519964,462,906,1368,7.2211050981825,1
"21","E02000023",0.0740289690999187,0.380871596385998,0.361429523370378,0.139991813344249,0.956321902200544,587,759,1346,7.20489251020467,1
"22","E02000024",0.0659790488691494,0.71138202512195,0.191020945873326,0.0990585345886206,1.06744055445305,1602,1461,3063,8.02715010683277,1
"23","E02000025",0.0528762237129425,0.558635706615256,0.263108880128236,0.123618501841998,0.998239312298433,235,1204,1439,7.27170370688737,1
"24","E02000026",0.0508406185194226,0.421699876034901,0.37905230421214,0.164551780597626,1.01614457936409,68,605,673,6.51174532964473,1
"25","E02000027",0.0550039799319131,0.394710979259194,0.422542294468817,0.222677036430618,1.09493429009054,880,1327,2207,7.69938940625674,1
"26","E02000028",0.115803320484023,0.517025296813072,0.302718809155217,0.227179697093737,1.16272712354605,370,814,1184,7.07665381544395,1
"27","E02000029",0.112426560151736,0.560364312727935,0.399607955371066,0.195251739664347,1.26765056791508,408,1115,1523,7.32843735289516,1
"28","E02000030",0.00147450326217708,0.457974138170012,0.0474727863951655,0.0139173147769136,0.520838742604268,240,980,1220,7.1066061377273,1
"29","E02000031",0.0810762209788416,0.533485147720548,0.266069836498659,0.14203847728203,1.02266968248008,1361,1259,2620,7.87092959675514,1
"30","E02000032",0.0575935654210323,0.590378405869721,0.297129767662535,0.218174375767499,1.16327611472079,79,989,1068,6.97354301952014,1
"31","E02000033",0.0812702807752146,0.547038769571973,0.346287386923907,0.18501841997544,1.15961485724653,988,1527,2515,7.83002808253384,1
"32","E02000034",0.0770029440939082,0.600754925658588,0.261287696312661,0.211625051166598,1.15067061723176,202,1540,1742,7.46278915741245,1
"33","E02000035",0.100346592631087,0.505366520846713,0.315163133830055,0.239459680720426,1.16033592802828,409,1538,1947,7.5740450053722,1
"34","E02000036",0.0657964342134271,0.485980491107957,0.355264311008458,0.233319688907081,1.14036092523692,150,1524,1674,7.42297125104942,1
"35","E02000037",0.017665730334926,0.374351969663077,0.137337596087615,0.0802292263610315,0.60958452244665,257,1141,1398,7.24279792279376,1
"36","E02000038",0.0746322532513449,0.529128917698158,0.365750811238205,0.232501023331969,1.20201300551968,348,2204,2552,7.84463264446468,1
"37","E02000039",0.093373354799956,0.606381194459133,0.261034902325396,0.116250511665984,1.07703996325047,561,868,1429,7.26473017792987,1
"38","E02000040",0.0147508130322743,0.487582541550972,0.139608738964975,0.0454359394187474,0.687378032966969,1198,950,2148,7.67229245562876,1
"39","E02000041",0.166072100164,0.655299509993698,0.346304665777318,0.255423659435121,1.42309993537014,1434,1180,2614,7.86863689418417,1
"40","E02000042",0.215638134767237,0.655969787777455,0.41055699671021,0.347114203847728,1.62927912310263,1419,2313,3732,8.22469956196723,1
"41","E02000043",0.0494436754058936,0.70239022184929,0.215930856656082,0.20261972984036,1.17038448375163,9,1101,1110,7.01211529430638,1
"42","E02000044",0.092556531857205,0.682228855709928,0.29248081780705,0.286532951289398,1.35379915666358,148,1213,1361,7.21597500265147,1
"43","E02000045",0.0643541487120598,0.510398581049404,0.425300446200573,0.229635693819075,1.22968886978111,320,2022,2342,7.75876054415766,1
"44","E02000046",0.181715075881889,0.749156003424282,0.453689038907539,0.286532951289398,1.67109306950311,705,1377,2082,7.64108424917491,1
"45","E02000047",0.098945003311898,0.33137828960242,0.361906318416414,0.315595579205894,1.10782519053663,591,1932,2523,7.83320394864106,1
"46","E02000048",0.0333026784565135,0.539522137718637,0.230429891863435,0.118297175603766,0.921551883642352,276,1730,2006,7.60389796852188,1
"47","E02000049",0.0662995947086224,0.333470760759196,0.48401307684841,0.429799426934097,1.31358285925033,283,1245,1528,7.33171496972647,1
"48","E02000050",0.0604589145870663,0.630864883586218,0.369255722286886,0.182562423250102,1.24314194371027,441,2144,2585,7.85748078694253,1
"49","E02000051",0.123705861690036,0.624761213640456,0.339911616957208,0.232501023331969,1.32087971561967,1318,1405,2723,7.90948949267376,1
"50","E02000052",0.165694797606462,0.701097562085341,0.416979063597319,0.397871469504707,1.68164289279383,548,2258,2806,7.93951526066241,1
"51","E02000053",0.0931786436709775,0.195690792922808,0.338679275164198,0.217765042979943,0.845313754737926,1349,1572,2921,7.97968130238774,1
"52","E02000054",0.0565525595376229,0.580325866080882,0.414008529593857,0.184609087187884,1.23549604240025,316,1173,1489,7.30586003268401,1
"53","E02000055",0.148393477321418,0.629006626428595,0.418857959450395,0.304543593941875,1.50080165714228,1854,2038,3892,8.2666784433059,1
"54","E02000056",0.037106344879711,0.654739296628189,0.235705579827208,0.104789193614409,1.03234041494952,299,1697,1996,7.59890045687141,1
"55","E02000057",0.119178930721538,0.613230469419188,0.47108960920809,0.268112975849366,1.47161198519818,295,1085,1380,7.22983877815125,1
"56","E02000058",0.0993637468741652,0.798401446891983,0.353052200788077,0.218993041342612,1.46981043589684,775,2102,2877,7.96450336355155,1
"57","E02000059",0.0757743134969502,0.557589223919837,0.303789863478406,0.183381088825215,1.12053448972041,895,2016,2911,7.97625194374562,1
"58","E02000060",0.104462942814568,0.72099137112692,0.327939230333855,0.350798198935735,1.50419174321108,406,1806,2212,7.70165236264223,1
"59","E02000061",0.130036600751107,0.701445142848453,0.341017327106952,0.194842406876791,1.3673414775833,1005,1687,2692,7.89803969076462,1
"60","E02000062",0.10119482372643,0.640112164940329,0.540492803357675,0.129349160867786,1.41114895289222,3968,982,4950,8.50714285556274,1
"61","E02000063",0.0517558878780726,0.472964747136425,0.289317214108691,0.26320098239869,1.07723883152188,135,1260,1395,7.24064969425547,1
"62","E02000064",0.140949657758011,0.642375955535158,0.309382532146315,0.310274252967663,1.40298239840715,125,1081,1206,7.09506437728713,1
"63","E02000065",0.0338524014371084,0.420243864666352,0.210824733075681,0.0859598853868195,0.750880884565961,757,1262,2019,7.61035761831284,1
"64","E02000066",0.0401471338763936,0.432021030873709,0.43766295168985,0.239050347932869,1.14888146437282,127,1681,1808,7.49997654095212,1
"65","E02000067",0.074750208276529,0.597280118565292,0.35645846622206,0.142857142857143,1.17134593592102,837,1614,2451,7.80425138352811,1
"66","E02000068",0.0925665219654896,0.528259055835082,0.429877722584362,0.12116250511666,1.17186580550159,1871,1315,3186,8.06652149046999,1
"67","E02000069",0.0586215153399139,0.512167230697993,0.277088111752999,0.162914449447401,1.01079130723831,154,866,1020,6.92755790627832,1
"68","E02000070",0.0336981044381182,0.536416424428443,0.313896387255816,0.161686451084732,1.04569736720711,38,1274,1312,7.17930796950403,1
"69","E02000071",0.0912796728023843,0.655320653962435,0.333220317682423,0.241506344658207,1.32132698910545,309,1105,1414,7.25417784645652,1
"70","E02000072",0.0279525945594234,0.406420599843386,0.164455734683338,0.0978305362259517,0.696659465312099,743,1902,2645,7.8804263442924,1
"71","E02000073",0.0522878473235157,0.635192005320319,0.227070892197086,0.262382316823578,1.1769330616645,118,1812,1930,7.56527528189893,1
"72","E02000074",0.0690633010730217,0.440145345754669,0.373883958162889,0.265656979124028,1.14874958411461,201,1247,1448,7.27793857294566,1
"73","E02000075",0.0497633280050462,0.475621912884354,0.246229822154528,0.200163733115023,0.97177879615895,64,1222,1286,7.15929190479756,1
"74","E02000077",0.0704259003674056,0.612128734568137,0.226624421154793,0.274662300450266,1.1838413565406,71,1382,1453,7.28138566357028,1
"75","E02000078",0.0523061836117146,0.697272287586293,0.256181820333581,0.198935734752354,1.20469602628394,101,1482,1583,7.36707705988101,1
"76","E02000079",0.128187216853947,0.640326748461572,0.304586995430219,0.183381088825215,1.25648204957095,3820,959,4779,8.47198659857816,1
"77","E02000080",0.111460314921313,0.649462593229961,0.211020569060895,0.216127711829718,1.18807118904189,811,1609,2420,7.79152281915073,1
"78","E02000081",0.0435334213610567,0.406384285215102,0.207814779185408,0.12771182971756,0.785444315479127,403,871,1274,7.14991683613211,1
"79","E02000082",0.0535142558419569,0.529212806645252,0.337832314599807,0.230863692181744,1.15142306926876,212,1593,1805,7.49831587076698,1
"80","E02000083",0.0599660727637561,0.557518570398159,0.21325933825972,0.0949652067130577,0.925709188134692,1565,1405,2970,7.99631723179675,1
"81","E02000084",0.0384555098861821,0.581288284576587,0.24010662510661,0.155955792058944,1.01580621162832,271,1969,2240,7.71423114484909,1
"82","E02000085",0.0687343976807166,0.595001326972417,0.319872446179801,0.187065083913221,1.17067325474616,112,1083,1195,7.08590146436561,1
"83","E02000086",0.0607600428974466,0.456586439083626,0.237306460212928,0.189521080638559,0.94417402283256,137,1099,1236,7.11963563801764,1
"84","E02000087",0.0414465333468173,0.543580652051417,0.186517949555116,0.0716332378223496,0.8431783727757,297,1103,1400,7.24422751560335,1
"85","E02000088",0.0415766815307044,0.577317261567439,0.234857096205059,0.146541137945149,1.00029217724835,69,1221,1290,7.16239749735572,1
"86","E02000089",0.0502938089671365,0.4611525031274,0.304053537469731,0.221039705280393,1.03653955484466,80,1097,1177,7.07072410726028,1
"87","E02000090",0.111771131556935,0.583503980694983,0.387508499999295,0.185427752762996,1.26821136501421,2536,1115,3651,8.20275638165564,1
"88","E02000091",0.0464523564767672,0.472599794412891,0.346589054058089,0.133033155955792,0.99867436090354,826,1357,2183,7.68845535654994,1
"89","E02000092",0.0179651081222313,0.418223640238761,0.16969747759706,0.0319279574293901,0.637814183387442,1010,887,1897,7.54802896993501,1
"90","E02000093",0.0903762791836323,0.569413123680921,0.248353173139162,0.311502251330332,1.21964482733405,701,2078,2779,7.9298464297425,1
"91","E02000094",0.116960251541737,0.470167668874022,0.293753565294236,0.295947605403193,1.17682909111319,667,1537,2204,7.6980291702728,1
"92","E02000095",0.0781739719207745,0.554961152599073,0.319589876507831,0.250511665984445,1.20323666701212,655,1835,2490,7.82003798945875,1
