"","MSOA11CD","POI_density","POI_diversity","Road_density","bamean","log_POI_density","log_POI_diversity","log_Road_density","log_bamean","pd_norm","pdiv_norm","r_norm","Pp_norm","vitality"
"1","E02000001",0.00300096443843636,0.000118744435286219,0.0583683810528678,16.4573158752597,-5.8088215624987,-9.03853697689515,-2.84098095609647,2.80077011240484,0.901120536866108,0.644799878474042,0.955208265447499,0.149788425225054,66.2729276503176
"2","E02000002",7.61901677777181e-05,3.6017170222194e-05,0.0174947033495087,17.7319596948464,-9.48227813538547,-10.2315147825965,-4.04585710960755,2.87536864386231,0.217474012793495,0.359662010924605,0.38738742066314,0.173918984979675,28.4610607340229
"3","E02000003",0.000197334813836331,6.95103717768635e-05,0.0186898112177206,28.3640308243962,-8.53060870922755,-9.57403458232837,-3.97977675827619,3.34512182218479,0.394583904349328,0.51680869157908,0.418529045308363,0.325871133607377,41.3948193711037
"4","E02000004",5.01964599862856e-05,2.40943007934171e-05,0.0180372742094529,20.5296823478087,-9.8995660519546,-10.6335352270348,-4.01531487280094,3.02187175832511,0.13981488492859,0.263573674921541,0.401781031703241,0.221308686743416,25.6619569574197
"5","E02000005",0.000184626290685242,7.75599029362659e-05,0.0265234199736298,39.1701090981504,-8.59717682628955,-9.46445997905701,-3.62972716369721,3.66791393292151,0.382195283185439,0.542998507152392,0.583496586520828,0.43028544531395,48.4743955543152
"6","E02000007",0.000125726984964262,5.36358238609006e-05,0.020766766845183,21.3430264067648,-8.98139778788801,-9.83329335752384,-3.87440131786287,3.06072505431713,0.310690061969169,0.454842329799818,0.468189229403344,0.233876652389417,36.6899568390437
"7","E02000008",0.000130345135814202,5.56608958341729e-05,0.0246723447256671,34.0534642603237,-8.94532473462778,-9.79623270723908,-3.70207230935499,3.52793176781162,0.317403416812144,0.463700327611421,0.549402558181283,0.385005090141122,42.8877848186493
"8","E02000009",0.000195728773358509,8.80261679125572e-05,0.0277233426226716,19.7392790288099,-8.53878066647755,-9.33787642504688,-3.58548052669678,2.98261050997511,0.393063066942383,0.573253692525315,0.604348657272861,0.208608759803291,44.4818544135962
"9","E02000010",0.000106219081245159,5.80188258902131e-05,0.0230511256405785,32.7470596727023,-9.15000679255403,-9.75474301576993,-3.7700406759996,3.48881317706452,0.279311180068659,0.4736169263061,0.517371170345871,0.372351308986226,41.0662646426714
"10","E02000011",0.000187871725378103,7.36507096166648e-05,0.0188524847298837,19.6761770509965,-8.57975113983358,-9.51617678011679,-3.97111055786612,2.97940861721526,0.385438280547415,0.53063749062703,0.42261315737546,0.207573036136082,38.6565491171497
"11","E02000012",0.000128482600655883,5.69324098714691e-05,0.0249480630617397,24.5843141021217,-8.95971706625304,-9.77364578546563,-3.69095909259419,3.20210860143554,0.31472494020743,0.469098908103204,0.55463987332857,0.279610315846399,40.4518509371401
"12","E02000013",0.000128451880843819,6.61488727698707e-05,0.024686313877245,33.5766497931194,-8.95995619190119,-9.62360270806444,-3.7015062829537,3.51383087874846,0.314680437866125,0.504961237583491,0.549669308907834,0.380443842895582,43.7438706813258
"13","E02000014",0.000194257917497753,7.95452679408904e-05,0.0270490831759412,28.7759632776098,-8.54632381022796,-9.43918429029373,-3.6101021679446,3.35954043024606,0.391659254510351,0.549039739403621,0.592745239699552,0.330535154153135,46.5994846941665
"14","E02000015",0.000183240535171943,7.35905763742745e-05,0.0255695496327713,16.5673112222552,-8.60471086834345,-9.51699357882007,-3.66635310294439,2.80743155045359,0.380793164619404,0.530442264664436,0.566235914788095,0.151943216019813,40.7353640022937
"15","E02000016",0.000722102244501281,0.000203233178876933,0.0368803958332896,21.5661490836742,-7.23334381621495,-8.50115657371431,-3.30007514734457,3.07112491333936,0.636010641623251,0.773241079553859,0.738851380343214,0.237240718875346,59.6335955098917
"16","E02000017",0.000210403423011587,9.43972114051983e-05,0.0270857004207836,24.4926854128351,-8.46648380816658,-9.26799902544831,-3.60874935010756,3.19837451839623,0.406517832203654,0.589955338286213,0.593382780881546,0.278402443356843,46.7064598682064
"17","E02000018",0.000115931380646494,4.47583178445324e-05,0.0257019006451499,25.2629561860134,-9.06251208804128,-10.0142332568949,-3.66119033475131,3.22933914039998,0.295594331761915,0.411595241031932,0.568668967669323,0.288418641356221,39.1069295454848
"18","E02000019",0.000164109476063977,4.13555879681221e-05,0.0234449271765477,23.0721158425084,-8.71497681586831,-10.093303007339,-3.75310113258541,3.13862478200309,0.360272183833804,0.392696498807604,0.525354252942101,0.259075057734252,38.434949832944
"19","E02000020",0.000194333972519513,4.82908214845177e-05,0.0237409487357071,22.8871572720313,-8.54593237116459,-9.93826904674044,-3.74055392700575,3.13057593542784,0.391732103052249,0.429751717028395,0.53126736264318,0.256471478689928,40.2305665353438
"20","E02000021",0.00014902369175317,3.89968539167175e-05,0.0192430045595034,27.2277146352577,-8.81140525960394,-10.1520295838906,-3.95060768380026,3.30423537496878,0.342326423737397,0.378660050915294,0.4322755274362,0.312645499825799,36.6476875478672
"21","E02000022",0.000327859491359202,0.000118135606198255,0.0372744114074775,14.78136644841,-8.02292542136349,-9.04367738825933,-3.28944820899987,2.69336736377771,0.489066010831745,0.643571250474675,0.743859527521476,0.115046609361892,49.7885849547447
"22","E02000023",0.000187477760877645,6.78600484158345e-05,0.0281099588388478,16.2742019522938,-8.58185032824093,-9.59806308514198,-3.57163135835336,2.78958115170305,0.385047612295432,0.511065553676653,0.610875341733675,0.146169106191131,41.3289403474222
