G,ECODE,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
LSOA,E01001376,0,2.5,0,0,0,0,0,2.5,80,0,0,0,0,80
LSOA,E01001376,10,20,2.5,20,20,10,0,20,60,0,0,0,2.5,160
LSOA,E01001376,90,110,2.5,0,0,10,20,10,60,0,0,10,2.5,310
LSOA,E01001376,50,30,10,0,0,0,0,40,20,0,20,2.5,2.5,160
LSOA,E01001376,10,90,2.5,0,0,0,0,0,10,0,0,0,2.5,110
LSOA,E01001376,2.5,10,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01001376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001377,230,330,50,40,30,20,50,2.5,2.5,2.5,2.5,2.5,10,760
LSOA,E01001377,2.5,2.5,0,0,0,0,0,0,0,0,0,0,2.5,2.5
LSOA,E01001377,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001377,10,2.5,0,2.5,10,2.5,40,0,0,2.5,0,0,2.5,60
LSOA,E01001377,20,30,30,30,20,10,10,0,0,0,0,2.5,2.5,150
LSOA,E01001377,40,50,10,2.5,10,10,10,0,2.5,0,2.5,0,2.5,120
LSOA,E01001377,10,40,0,2.5,0,2.5,0,0,0,0,0,0,0,60
LSOA,E01001377,70,140,0,2.5,2.5,0,0,2.5,0,2.5,0,2.5,2.5,220
LSOA,E01001377,90,50,0,0,0,2.5,0,0,0,0,0,0,0,150
LSOA,E01001379,170,470,60,10,10,10,0,0,0,2.5,20,2.5,10,750
LSOA,E01001379,10,0,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01001379,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001379,20,10,0,0,0,0,0,0,0,0,0,0,2.5,30
LSOA,E01001379,50,40,0,0,2.5,10,0,0,0,0,2.5,0,0,100
LSOA,E01001379,40,80,0,0,2.5,0,0,0,0,2.5,10,0,2.5,130
LSOA,E01001379,40,160,0,0,10,0,0,0,0,0,10,2.5,2.5,220
LSOA,E01001379,10,170,60,10,0,0,0,0,0,2.5,2.5,2.5,0,260
LSOA,E01001379,2.5,0,2.5,0,0,0,0,0,0,0,2.5,0,0,2.5
LSOA,E01001380,290,400,0,40,0,2.5,0,2.5,30,0,20,90,10,900
LSOA,E01001380,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001380,2.5,0,0,0,0,0,0,0,20,0,20,0,0,40
LSOA,E01001380,20,10,0,0,0,2.5,0,0,10,0,0,0,2.5,40
LSOA,E01001380,130,130,0,40,0,0,0,0,10,0,0,20,2.5,340
LSOA,E01001380,50,60,0,0,0,0,0,2.5,2.5,0,0,60,2.5,170
LSOA,E01001380,90,150,0,0,0,0,0,0,2.5,0,0,10,2.5,240
LSOA,E01001380,10,60,0,0,0,0,0,0,2.5,0,0,0,2.5,70
LSOA,E01001380,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001381,330,350,50,2.5,10,0,2.5,0,20,0,20,10,2.5,780
LSOA,E01001381,40,10,0,0,0,0,0,0,0,0,2.5,0,0,50
LSOA,E01001381,50,2.5,0,0,2.5,0,0,0,10,0,0,0,0,60
LSOA,E01001381,140,30,2.5,0,10,0,0,0,0,0,2.5,0,2.5,190
LSOA,E01001381,70,110,2.5,0,0,0,0,0,2.5,0,10,2.5,0,210
LSOA,E01001381,10,70,0,2.5,0,0,0,0,10,0,2.5,10,0,90
LSOA,E01001381,10,120,40,0,0,0,2.5,0,0,0,0,0,0,170
LSOA,E01001381,10,10,10,0,0,0,2.5,0,0,0,0,0,0,20
LSOA,E01001381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001382,140,430,0,2.5,2.5,2.5,0,0,0,0,0,0,2.5,580
LSOA,E01001382,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001382,10,2.5,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01001382,10,40,0,2.5,0,0,0,0,0,0,0,0,0,50
LSOA,E01001382,10,40,0,2.5,0,0,0,0,0,0,0,0,0,50
LSOA,E01001382,60,130,0,0,0,2.5,0,0,0,0,0,0,0,190
LSOA,E01001382,10,80,0,0,2.5,0,0,0,0,0,0,0,0,100
LSOA,E01001382,50,140,0,0,0,0,0,0,0,0,0,0,2.5,180
LSOA,E01001382,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001383,40,600,2.5,2.5,10,0,0,0,0,0,0,2.5,2.5,660
LSOA,E01001383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001383,0,10,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01001383,10,200,0,0,10,0,0,0,0,0,0,0,0,220
LSOA,E01001383,0,10,0,0,0,0,0,0,0,0,0,2.5,0,10
LSOA,E01001383,2.5,310,0,0,0,0,0,0,0,0,0,0,2.5,310
LSOA,E01001383,30,80,2.5,2.5,0,0,0,0,0,0,0,0,2.5,110
LSOA,E01001383,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001384,220,430,0,0,0,2.5,0,10,10,2.5,20,10,10,710
LSOA,E01001384,0,2.5,0,0,0,0,0,0,2.5,0,0,2.5,0,10
LSOA,E01001384,2.5,10,0,0,0,0,0,2.5,10,0,2.5,0,2.5,20
LSOA,E01001384,40,100,0,0,0,0,0,0,0,2.5,10,2.5,2.5,160
LSOA,E01001384,20,10,0,0,0,2.5,0,10,0,2.5,0,2.5,0,40
LSOA,E01001384,160,280,0,0,0,0,0,0,0,0,2.5,0,2.5,440
LSOA,E01001384,2.5,30,0,0,0,0,0,0,0,0,10,2.5,0,40
LSOA,E01001384,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001385,90,580,2.5,0,0,2.5,0,0,0,0,2.5,2.5,2.5,680
LSOA,E01001385,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001385,0,20,0,0,0,0,0,0,0,0,0,0,0,20
LSOA,E01001385,0,120,2.5,0,0,0,0,0,0,0,2.5,0,2.5,120
LSOA,E01001385,2.5,30,0,0,0,0,0,0,0,0,0,2.5,0,30
LSOA,E01001385,80,360,0,0,0,0,0,0,0,0,0,2.5,0,450
LSOA,E01001385,2.5,40,0,0,0,2.5,0,0,0,0,2.5,2.5,0,50
LSOA,E01001385,0,10,0,0,0,0,0,0,0,0,2.5,0,0,20
LSOA,E01001385,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001386,380,290,2.5,20,2.5,30,10,2.5,2.5,10,2.5,10,2.5,770
LSOA,E01001386,2.5,10,0,2.5,0,0,0,0,0,0,0,0,0,10
LSOA,E01001386,10,10,0,2.5,0,10,0,0,0,0,2.5,0,0,40
LSOA,E01001386,40,40,0,10,2.5,10,0,0,2.5,0,0,2.5,2.5,100
LSOA,E01001386,70,30,0,2.5,2.5,10,10,0,0,0,0,2.5,0,110
LSOA,E01001386,120,30,0,2.5,0,0,0,0,0,0,2.5,0,2.5,150
LSOA,E01001386,30,100,0,10,0,0,2.5,0,0,2.5,0,0,0,140
LSOA,E01001386,110,80,2.5,10,0,0,0,2.5,2.5,10,2.5,0,2.5,210
LSOA,E01001386,0,2.5,0,0,0,0,0,0,0,0,0,2.5,0,2.5
LSOA,E01001387,380,140,2.5,10,20,90,30,0,90,2.5,2.5,10,2.5,770
LSOA,E01001387,10,0,0,0,0,0,0,0,2.5,0,2.5,0,0,20
LSOA,E01001387,20,2.5,0,2.5,2.5,30,0,0,0,0,0,0,0,70
LSOA,E01001387,80,20,0,0,2.5,30,2.5,0,60,0,2.5,0,0,190
LSOA,E01001387,120,20,0,10,10,20,30,0,30,2.5,0,0,0,230
LSOA,E01001387,80,20,0,0,0,2.5,0,0,0,0,0,0,2.5,100
LSOA,E01001387,10,10,0,0,0,2.5,0,0,0,0,0,0,0,20
LSOA,E01001387,40,70,2.5,0,0,2.5,0,0,2.5,2.5,0,2.5,0,120
LSOA,E01001387,20,2.5,0,0,0,0,0,0,0,0,0,2.5,0,30
LSOA,E01001388,120,160,2.5,70,10,2.5,2.5,280,20,70,40,10,2.5,790
LSOA,E01001388,0,2.5,0,2.5,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001388,10,20,0,10,0,0,0,120,0,0,2.5,0,0,150
LSOA,E01001388,30,20,0,30,0,0,2.5,160,20,40,10,0,0,310
LSOA,E01001388,20,30,0,10,10,0,0,2.5,0,0,30,10,0,100
LSOA,E01001388,40,20,2.5,20,2.5,0,0,0,0,40,2.5,0,2.5,130
LSOA,E01001388,20,10,2.5,2.5,0,2.5,0,0,0,0,0,0,0,30
LSOA,E01001388,2.5,70,0,0,0,0,0,0,0,0,0,2.5,0,70
LSOA,E01001388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001389,220,390,2.5,10,2.5,10,0,0,60,20,20,50,2.5,780
LSOA,E01001389,0,20,0,0,0,0,0,0,0,0,2.5,0,0,20
LSOA,E01001389,20,20,0,0,0,0,0,0,0,0,2.5,0,2.5,40
LSOA,E01001389,110,90,2.5,2.5,2.5,10,0,0,60,10,10,20,0,310
LSOA,E01001389,20,90,0,0,0,2.5,0,0,0,20,2.5,20,0,150
LSOA,E01001389,30,130,0,10,0,0,0,0,0,0,0,10,0,170
LSOA,E01001389,40,40,0,0,0,0,0,0,0,0,2.5,0,0,90
LSOA,E01001389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001389,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001390,140,500,2.5,40,2.5,10,30,0,2.5,0,0,0,0,710
LSOA,E01001390,0,10,0,2.5,0,0,0,0,0,0,0,0,0,10
LSOA,E01001390,2.5,10,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01001390,40,100,2.5,30,0,10,30,0,0,0,0,0,0,200
LSOA,E01001390,10,140,0,0,0,0,2.5,0,0,0,0,0,0,150
LSOA,E01001390,90,210,0,0,0,0,0,0,2.5,0,0,0,0,300
LSOA,E01001390,2.5,30,0,0,2.5,0,0,0,0,0,0,0,0,40
LSOA,E01001390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001391,230,380,0,30,0,10,30,20,40,2.5,2.5,10,0,730
LSOA,E01001391,10,50,0,10,0,0,0,0,0,0,0,0,0,70
LSOA,E01001391,60,40,0,0,0,0,0,2.5,0,0,0,0,0,100
LSOA,E01001391,80,110,0,10,0,10,30,10,30,0,0,10,0,290
LSOA,E01001391,20,40,0,0,0,0,2.5,0,0,0,2.5,0,0,70
LSOA,E01001391,40,110,0,0,0,0,0,2.5,0,0,0,2.5,0,160
LSOA,E01001391,10,20,0,0,0,0,0,0,2.5,0,0,0,0,30
LSOA,E01001391,10,10,0,0,0,0,0,0,0,0,0,0,0,20
LSOA,E01001391,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5
LSOA,E01001392,90,390,120,20,20,2.5,10,2.5,0,0,10,0,0,650
LSOA,E01001392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001392,2.5,0,0,0,0,0,2.5,0,0,0,0,0,0,10
LSOA,E01001392,10,40,2.5,0,0,0,2.5,0,0,0,0,0,0,60
LSOA,E01001392,30,60,10,0,0,0,0,0,0,0,0,0,0,90
LSOA,E01001392,60,270,110,20,20,2.5,0,2.5,0,0,10,0,0,480
LSOA,E01001392,0,10,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01001392,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001393,500,290,2.5,2.5,0,0,0,0,2.5,10,10,2.5,2.5,820
LSOA,E01001393,30,10,0,0,0,0,0,0,0,0,0,0,0,40
LSOA,E01001393,30,20,0,0,0,0,0,0,0,0,2.5,2.5,2.5,60
LSOA,E01001393,170,130,2.5,2.5,0,0,0,0,2.5,0,2.5,0,2.5,310
LSOA,E01001393,90,50,0,0,0,0,0,0,0,2.5,2.5,0,0,140
LSOA,E01001393,160,60,0,0,0,0,0,0,0,2.5,2.5,0,0,220
LSOA,E01001393,30,10,0,0,0,0,0,0,0,10,0,0,0,40
LSOA,E01001393,0,10,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01001393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001394,20,290,160,30,20,0,0,40,30,70,2.5,2.5,0,660
LSOA,E01001394,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001394,2.5,10,2.5,0,2.5,0,0,0,0,0,2.5,2.5,0,10
LSOA,E01001394,10,40,30,2.5,10,0,0,0,30,40,0,2.5,0,160
LSOA,E01001394,10,100,2.5,2.5,0,0,0,40,2.5,30,2.5,0,0,180
LSOA,E01001394,0,140,130,20,2.5,0,0,2.5,0,0,2.5,2.5,0,290
LSOA,E01001394,0,2.5,2.5,0,0,0,0,2.5,0,0,0,0,0,10
LSOA,E01001394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001394,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001395,10,40,100,120,10,0,70,0,280,0,0,10,0,640
LSOA,E01001395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001395,0,0,2.5,0,0,0,40,0,30,0,0,0,0,70
LSOA,E01001395,0,0,2.5,40,10,0,20,0,70,0,0,2.5,0,150
LSOA,E01001395,10,40,2.5,30,0,0,2.5,0,170,0,0,2.5,0,260
LSOA,E01001395,0,0,90,50,0,0,0,0,10,0,0,10,0,160
LSOA,E01001395,0,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001396,10,320,180,2.5,0,0,0,0,0,0,0,10,0,520
LSOA,E01001396,2.5,10,10,0,0,0,0,0,0,0,0,0,0,20
LSOA,E01001396,2.5,10,2.5,0,0,0,0,0,0,0,0,0,0,20
LSOA,E01001396,2.5,70,10,0,0,0,0,0,0,0,0,2.5,0,90
LSOA,E01001396,2.5,40,2.5,0,0,0,0,0,0,0,0,0,0,40
LSOA,E01001396,0,130,140,0,0,0,0,0,0,0,0,2.5,0,280
LSOA,E01001396,0,70,10,2.5,0,0,0,0,0,0,0,0,0,80
LSOA,E01001396,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01001396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001397,0,10,290,120,2.5,20,2.5,0,60,160,140,0,2.5,800
LSOA,E01001397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001397,0,2.5,2.5,2.5,0,0,0,0,30,20,0,0,0,60
LSOA,E01001397,0,2.5,20,10,0,0,2.5,0,30,120,10,0,2.5,200
LSOA,E01001397,0,2.5,10,70,0,20,0,0,0,10,110,0,0,220
LSOA,E01001397,0,0,250,40,2.5,0,0,0,0,0,20,0,0,310
LSOA,E01001397,0,0,2.5,0,0,0,2.5,0,0,0,0,0,0,2.5
LSOA,E01001397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001398,20,260,110,100,10,2.5,0,0,0,2.5,2.5,0,0,500
LSOA,E01001398,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001398,0,10,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01001398,0,10,0,2.5,2.5,0,0,0,0,0,0,0,0,10
LSOA,E01001398,0,110,60,10,2.5,0,0,0,0,0,0,0,0,180
LSOA,E01001398,10,90,30,80,2.5,2.5,0,0,0,0,0,0,0,210
LSOA,E01001398,10,40,20,2.5,10,0,0,0,0,2.5,0,0,0,70
LSOA,E01001398,10,2.5,10,2.5,0,2.5,0,0,0,2.5,2.5,0,0,20
LSOA,E01001398,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001399,20,30,20,440,0,0,10,2.5,0,0,0,2.5,0,510
LSOA,E01001399,0,0,0,10,0,0,0,0,0,0,0,2.5,0,10
LSOA,E01001399,2.5,0,0,10,0,0,0,0,0,0,0,2.5,0,10
LSOA,E01001399,10,0,0,10,0,0,10,0,0,0,0,0,0,30
LSOA,E01001399,2.5,0,10,30,0,0,0,0,0,0,0,0,0,40
LSOA,E01001399,0,30,10,350,0,0,0,0,0,0,0,2.5,0,390
LSOA,E01001399,0,2.5,0,40,0,0,0,2.5,0,0,0,0,0,40
LSOA,E01001399,0,0,0,2.5,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001400,10,40,180,280,2.5,2.5,10,20,30,0,20,2.5,0,600
LSOA,E01001400,0,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001400,0,2.5,10,10,0,0,10,10,20,0,2.5,0,0,60
LSOA,E01001400,0,0,10,30,0,0,0,10,10,0,10,0,0,70
LSOA,E01001400,2.5,10,110,120,2.5,0,0,10,2.5,0,0,0,0,250
LSOA,E01001400,10,30,40,110,0,2.5,0,2.5,0,0,0,0,0,190
LSOA,E01001400,2.5,2.5,20,10,0,0,0,0,0,0,0,2.5,0,30
LSOA,E01001400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001401,2.5,60,0,440,0,0,0,0,2.5,0,2.5,0,0,510
LSOA,E01001401,0,0,0,2.5,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001401,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001401,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001401,0,60,0,240,0,0,0,0,0,0,2.5,0,0,300
LSOA,E01001401,0,0,0,190,0,0,0,0,2.5,0,0,0,0,200
LSOA,E01001401,0,0,0,2.5,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001402,50,110,110,310,10,10,30,2.5,0,2.5,70,0,2.5,700
LSOA,E01001402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001402,2.5,0,2.5,2.5,0,0,0,0,0,0,0,0,0,10
LSOA,E01001402,10,10,10,60,0,0,10,0,0,2.5,10,0,0,110
LSOA,E01001402,2.5,2.5,10,2.5,2.5,2.5,2.5,0,0,0,30,0,2.5,60
LSOA,E01001402,2.5,80,50,140,0,2.5,2.5,2.5,0,0,20,0,0,290
LSOA,E01001402,2.5,20,30,70,10,2.5,20,0,0,0,2.5,0,0,140
LSOA,E01001402,20,10,10,50,2.5,0,2.5,0,0,0,10,0,0,90
LSOA,E01001402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001403,2.5,0,130,260,30,50,20,20,140,0,2.5,0,0,650
LSOA,E01001403,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5
LSOA,E01001403,0,0,0,0,0,0,10,0,30,0,0,0,0,40
LSOA,E01001403,2.5,0,2.5,0,10,0,10,0,110,0,2.5,0,0,130
LSOA,E01001403,2.5,0,0,100,20,2.5,10,20,0,0,0,0,0,150
LSOA,E01001403,0,0,120,120,0,40,0,10,0,0,2.5,0,0,290
LSOA,E01001403,0,0,10,20,0,2.5,0,0,0,0,0,0,0,30
LSOA,E01001403,0,0,2.5,10,0,0,0,0,0,0,0,0,0,10
LSOA,E01001403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001404,0,2.5,50,400,50,30,0,0,0,2.5,2.5,2.5,0,540
LSOA,E01001404,0,0,0,2.5,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001404,0,0,0,2.5,30,0,0,0,0,0,0,0,0,30
LSOA,E01001404,0,2.5,0,40,2.5,0,0,0,0,2.5,2.5,0,0,50
LSOA,E01001404,0,0,0,30,20,0,0,0,0,0,2.5,0,0,50
LSOA,E01001404,0,0,40,300,2.5,20,0,0,0,2.5,0,2.5,0,370
LSOA,E01001404,0,0,2.5,20,0,2.5,0,0,0,0,2.5,0,0,30
LSOA,E01001404,0,0,0,10,0,0,0,0,0,0,0,0,0,10
LSOA,E01001404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001405,70,50,10,20,10,40,140,190,200,80,70,2.5,2.5,890
LSOA,E01001405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001405,2.5,0,0,2.5,0,0,2.5,2.5,40,0,0,0,0,50
LSOA,E01001405,2.5,10,0,10,0,10,30,50,60,20,10,0,2.5,210
LSOA,E01001405,2.5,2.5,0,0,0,10,70,60,30,30,0,0,2.5,210
LSOA,E01001405,10,10,2.5,0,10,10,20,30,30,30,10,0,0,160
LSOA,E01001405,10,20,10,2.5,2.5,10,20,40,40,0,50,0,0,190
LSOA,E01001405,50,2.5,2.5,2.5,2.5,10,2.5,0,2.5,2.5,2.5,0,0,70
LSOA,E01001405,0,2.5,0,0,0,0,0,0,0,0,0,2.5,0,2.5
LSOA,E01001406,170,230,100,30,10,20,30,20,10,10,20,10,0,670
LSOA,E01001406,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001406,30,20,2.5,0,0,10,0,0,0,0,0,2.5,0,70
LSOA,E01001406,80,60,2.5,2.5,0,2.5,30,20,10,0,10,10,0,220
LSOA,E01001406,10,60,90,10,0,2.5,0,0,0,10,10,2.5,0,200
LSOA,E01001406,20,70,10,10,2.5,2.5,2.5,0,0,10,2.5,2.5,0,130
LSOA,E01001406,2.5,20,2.5,2.5,2.5,2.5,0,2.5,0,0,0,0,0,30
LSOA,E01001406,20,0,0,2.5,0,2.5,0,2.5,0,0,0,0,0,20
LSOA,E01001406,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001407,80,50,70,210,130,2.5,10,0,2.5,20,10,2.5,2.5,580
LSOA,E01001407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001407,2.5,2.5,0,0,80,0,0,0,0,0,0,0,0,80
LSOA,E01001407,10,2.5,2.5,60,0,0,0,0,0,2.5,0,0,0,70
LSOA,E01001407,40,30,60,120,40,0,2.5,0,0,10,2.5,2.5,2.5,300
LSOA,E01001407,20,20,10,20,10,2.5,2.5,0,0,0,2.5,0,0,80
LSOA,E01001407,10,0,2.5,10,2.5,0,2.5,0,0,0,0,0,0,20
LSOA,E01001407,2.5,2.5,0,10,0,0,0,0,2.5,10,0,0,0,20
LSOA,E01001407,10,0,0,0,0,0,0,0,0,0,0,0,0,10
LSOA,E01001408,420,100,20,50,10,30,90,10,10,0,10,0,0,740
LSOA,E01001408,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001408,50,2.5,0,0,0,10,70,0,0,0,0,0,0,130
LSOA,E01001408,40,10,0,2.5,0,2.5,2.5,0,0,0,0,0,0,60
LSOA,E01001408,310,70,20,30,2.5,10,10,10,2.5,0,2.5,0,0,460
LSOA,E01001408,20,20,2.5,10,2.5,2.5,10,2.5,2.5,0,2.5,0,0,70
LSOA,E01001408,2.5,2.5,2.5,2.5,2.5,0,0,0,2.5,0,0,0,0,10
LSOA,E01001408,0,2.5,0,0,2.5,0,0,0,2.5,0,2.5,0,0,10
LSOA,E01001408,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5
LSOA,E01001409,0,0,0,120,120,90,30,2.5,130,170,110,0,0,790
LSOA,E01001409,0,0,0,0,0,10,0,0,0,0,10,0,0,20
LSOA,E01001409,0,0,0,0,10,20,0,0,20,110,2.5,0,0,170
LSOA,E01001409,0,0,0,50,20,30,30,2.5,50,30,100,0,0,310
LSOA,E01001409,0,0,0,70,80,30,0,0,30,20,2.5,0,0,220
LSOA,E01001409,0,0,0,10,20,10,0,0,30,10,0,0,0,60
LSOA,E01001409,0,0,0,2.5,2.5,2.5,0,0,0,2.5,0,0,0,10
LSOA,E01001409,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5
LSOA,E01001409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001410,2.5,2.5,0,30,90,130,180,0,10,290,70,0,0,800
LSOA,E01001410,0,0,0,0,0,0,140,0,0,2.5,0,0,0,150
LSOA,E01001410,0,0,0,0,50,50,0,0,0,90,0,0,0,190
LSOA,E01001410,2.5,0,0,20,30,40,30,0,0,120,70,0,0,310
LSOA,E01001410,0,2.5,0,10,10,40,2.5,0,0,60,0,0,0,130
LSOA,E01001410,0,0,0,2.5,0,2.5,2.5,0,10,10,2.5,0,0,20
LSOA,E01001410,0,0,0,2.5,0,0,0,0,2.5,2.5,0,0,0,10
LSOA,E01001410,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5
LSOA,E01001410,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5
LSOA,E01001411,250,240,10,130,2.5,60,30,2.5,2.5,2.5,40,2.5,0,770
LSOA,E01001411,2.5,2.5,0,0,0,0,10,0,0,0,0,0,0,10
LSOA,E01001411,20,10,0,0,0,20,2.5,0,0,0,0,0,0,40
LSOA,E01001411,60,30,0,10,0,40,20,2.5,2.5,0,10,0,0,170
LSOA,E01001411,120,100,2.5,60,2.5,2.5,0,2.5,0,0,10,0,0,300
LSOA,E01001411,50,100,2.5,60,2.5,2.5,2.5,0,2.5,2.5,10,2.5,0,230
LSOA,E01001411,10,10,0,10,0,0,0,0,0,2.5,0,2.5,0,20
LSOA,E01001411,0,0,0,0,0,0,0,0,0,2.5,2.5,0,0,2.5
LSOA,E01001411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSOA,E01001412,100,20,20,100,150,200,40,30,10,2.5,40,10,20,710
LSOA,E01001412,0,0,2.5,2.5,2.5,0,2.5,20,2.5,0,10,0,2.5,30
LSOA,E01001412,2.5,0,2.5,2.5,0,0,2.5,2.5,0,0,0,0,2.5,10
LSOA,E01001412,10,2.5,0,0,90,2.5,2.5,0,0,0,0,2.5,0,110
LSOA,E01001412,30,2.5,0,0,20,160,0,2.5,0,2.5,2.5,2.5,2.5,220
LSOA,E01001412,20,2.5,2.5,20,20,10,10,0,0,0,2.5,10,2.5,100
LSOA,E01001412,20,2.5,10,40,10,20,20,2.5,0,2.5,2.5,2.5,2.5,120
LSOA,E01001412,20,2.5,2.5,30,2.5,2.5,10,10,2.5,0,10,2.5,2.5,100
LSOA,E01001412,10,2.5,2.5,2.5,0,0,2.5,0,2.5,0,10,0,0,30
LSOA,E01001413,80,20,60,350,50,20,2.5,30,2.5,20,2.5,2.5,0,640
LSOA,E01001413,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5
LSOA,E01001413,0,0,0,0,0,0,0,10,0,0,0,0,0,10
LSOA,E01001413,2.5,2.5,2.5,2.5,0,0,0,20,0,0,2.5,2.5,0,30
LSOA,E01001413,50,2.5,20,30,2.5,2.5,0,2.5,0,20,2.5,2.5,0,120
LSOA,E01001413,30,10,30,230,40,2.5,2.5,0,0,0,2.5,0,0,350
