G,ECODE,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
REGL,E12000004,20430,4960,5610,14180,6780,23220,25700,23700,26420,24140,29050,8250,4690,217130
REGL,E12000004,16550,2610,3020,6420,3220,9230,11980,11910,16830,18000,19520,5650,3720,128660
REGL,E12000004,11560,1490,1610,2980,1530,3390,4020,4980,6600,8370,10580,2810,2540,62460
REGL,E12000004,10330,1260,1010,1690,700,1460,1540,2200,2610,3600,5200,1360,2040,34990
REGL,E12000004,1300,130,70,90,40,50,40,50,90,190,270,150,620,3090
REGL,E12000005,285540,112500,138980,298570,195510,303570,291550,239020,165670,127060,167360,62080,34940,2422340
REGL,E12000005,122020,54930,54330,73140,86550,89790,91460,72450,31800,17490,29280,11950,13060,748220
REGL,E12000005,51850,28470,44430,98970,60530,61720,72410,63670,36620,31590,39420,17100,5250,612040
REGL,E12000005,32020,12730,20070,74460,26940,78030,70520,47380,29500,24360,35170,15060,4150,470380
REGL,E12000005,24850,7370,9550,28420,10950,40720,30310,26430,31790,20550,26300,8350,3860,269460
REGL,E12000005,22070,4310,5280,13120,5550,19500,15970,16970,21330,17650,19160,5020,3270,169210
REGL,E12000005,15890,2350,2990,6080,3210,10090,7540,8150,10210,9610,10560,2780,2380,91850
REGL,E12000005,14820,2040,2130,4070,1700,3520,3180,3790,4240,5400,6900,1560,2270,55610
REGL,E12000005,2010,300,210,310,80,190,180,190,180,420,570,250,700,5580
REGL,E12000006,283030,98210,99550,196270,190520,337560,313860,311570,253300,177320,221750,89510,28400,2600850
REGL,E12000006,57250,20450,11060,17990,26280,32830,42040,59130,43350,17340,27080,12340,5500,372620
REGL,E12000006,62140,25760,22520,37170,50080,55810,66540,73710,62480,31290,43740,16470,4790,552490
REGL,E12000006,52350,22220,28140,51870,60900,116630,96330,78000,56020,37910,50940,21860,5220,678380
REGL,E12000006,38780,12790,17270,41430,32940,70500,58420,47070,36980,34160,43500,17370,4230,455430
REGL,E12000006,27860,7680,9730,26070,10690,34420,28630,30000,30190,27950,29220,11360,3390,277190
REGL,E12000006,19750,4560,5890,12090,5500,16450,13940,15430,15750,17580,15730,5710,2260,150640
REGL,E12000006,21010,4090,4320,8390,3850,10240,7620,7810,7930,10110,9940,3590,2190,101090
REGL,E12000006,3900,650,630,1260,280,670,340,420,600,980,1620,820,830,13020
REGL,E12000007,781700,311490,236900,610610,193480,244100,221410,215140,158370,122800,231540,117890,41150,3486580
REGL,E12000007,25900,7040,4250,8630,9280,16590,26330,11870,3100,1950,4930,5370,4040,129270
REGL,E12000007,90600,32770,12100,42550,39800,60950,56940,53810,30040,12420,20040,10870,8240,471130
REGL,E12000007,204490,81300,65290,109820,66640,78680,67170,74710,54450,31380,66680,32330,10260,943210
REGL,E12000007,187290,80590,69220,203500,48750,43560,37530,45510,33900,33760,63340,34430,8120,889510
REGL,E12000007,111590,48970,44590,152500,16140,21600,15710,14850,16080,19050,38430,19690,4530,523730
REGL,E12000007,66150,30990,22430,58440,6640,10610,7710,6480,9600,11450,20950,8490,2410,262340
REGL,E12000007,67660,25390,15600,30160,5230,9610,8180,6570,9010,9880,12600,4600,2190,206680
REGL,E12000007,28030,4430,3430,5010,1000,2500,1850,1340,2180,2900,4570,2110,1380,60710
REGL,E12000008,527370,159190,155940,333860,247950,485270,428170,413540,363510,207140,295100,114760,51020,3782800
REGL,E12000008,84900,14830,5300,8200,17450,38220,37590,41890,33720,15900,20390,8630,7850,334880
REGL,E12000008,118970,36010,25000,34550,48130,59150,63600,80660,73000,22560,45230,17300,6450,630590
REGL,E12000008,100390,38290,44660,92930,85470,119340,122290,117130,93640,48640,76270,30530,8180,977770
REGL,E12000008,77690,28680,33310,81900,52500,125570,96720,69170,57210,39280,65770,26390,7050,761240
REGL,E12000008,52660,18810,20650,57700,21310,77100,56120,51560,49970,32770,39580,14260,6420,498910
REGL,E12000008,36060,10130,12700,30780,12720,39330,31300,31570,32970,25820,24700,8250,5600,301930
REGL,E12000008,45640,10270,12200,24550,9560,24960,19400,20400,21480,19890,19040,7160,7320,241860
REGL,E12000008,11060,2160,2130,3250,810,1600,1160,1150,1520,2280,4140,2230,2150,35640
REGL,E12000009,472980,115640,81920,186910,156360,224260,258550,255660,237470,145390,206770,93110,34250,2469260
REGL,E12000009,102190,24510,9180,17750,48530,37500,37590,44050,41380,16360,31960,16270,7890,435160
REGL,E12000009,111370,38030,26130,50900,52610,43490,50950,68500,60460,28380,44650,22630,5770,603870
REGL,E12000009,87500,24960,21530,52580,28960,59410,78310,62060,45660,31460,47300,22980,5380,568070
REGL,E12000009,61770,12890,11480,34670,12650,46480,52390,38350,37980,24770,36400,14960,4870,389670
REGL,E12000009,47640,7550,6800,18040,7830,24170,26260,26180,30190,25340,25180,9080,4550,258810
REGL,E12000009,31850,4560,3930,8170,3800,9350,9340,11580,14830,12580,13750,4490,3000,131210
REGL,E12000009,26770,2840,2660,4500,1900,3720,3560,4750,6750,6160,6790,2290,2170,74860
REGL,E12000009,3900,300,210,290,80,150,140,190,220,350,750,420,610,7610
CTYMET,E13000001,546970,101790,48570,96370,70310,101390,98670,97000,60720,56510,120370,62300,29760,1490730
CTYMET,E13000001,17730,2510,1120,5170,4220,8420,13720,4180,1030,950,2940,3680,3240,68930
CTYMET,E13000001,57340,10170,6150,25330,25910,36350,32580,28580,10190,5030,9990,5170,6090,258870
CTYMET,E13000001,125860,29010,18390,24600,24790,34680,29190,34190,16150,12470,26370,11990,6990,394660
CTYMET,E13000001,128070,25050,10350,19580,10330,12090,11800,19000,14030,13440,31990,19080,6000,320790
CTYMET,E13000001,84270,14970,5980,9400,2530,3680,4980,5970,8500,10210,23660,12670,3360,190160
CTYMET,E13000001,52570,10000,2610,5550,880,1780,1950,1960,4700,6620,14020,5430,1780,109850
CTYMET,E13000001,56220,8400,2560,4850,1090,2860,3100,2260,4660,5820,8470,2960,1360,104600
CTYMET,E13000001,24930,1680,1420,1910,560,1540,1360,870,1460,1970,2930,1320,960,42890
CTYMET,E13000002,234730,209700,188330,514230,123170,142710,122750,118140,97650,66290,111170,55590,11390,1995840
CTYMET,E13000002,8170,4530,3130,3460,5060,8170,12610,7690,2070,1000,1980,1690,790,60350
CTYMET,E13000002,33260,22600,5950,17220,13890,24600,24360,25240,19850,7390,10050,5700,2150,212260
CTYMET,E13000002,78630,52300,46900,85220,41850,44010,37980,40530,38300,18920,40310,20340,3270,548550
CTYMET,E13000002,59230,55550,58870,183920,38430,31470,25730,26510,19870,20320,31350,15360,2130,568720
CTYMET,E13000002,27320,34000,38610,143100,13610,17920,10740,8890,7580,8840,14770,7020,1170,333570
CTYMET,E13000002,13580,20990,19820,52900,5760,8830,5760,4510,4900,4830,6930,3050,630,152490
CTYMET,E13000002,11450,16990,13040,25310,4140,6760,5080,4310,4350,4060,4130,1640,830,102080
CTYMET,E13000002,3100,2750,2010,3100,440,960,490,470,720,940,1650,780,420,17820
LAUA,E09000001,1390,80,50,50,140,340,2650,290,110,470,660,410,50,6680
LAUA,E09000001,2.5,2.5,0,0,0,0,0,0,0,10,0,0,0,10
LAUA,E09000001,10,10,2.5,2.5,2.5,0,180,50,0,10,0,50,10,310
LAUA,E09000001,30,2.5,2.5,30,2.5,70,360,110,30,20,10,10,10,670
LAUA,E09000001,200,20,10,2.5,40,110,320,80,30,10,30,20,10,870
LAUA,E09000001,480,20,20,10,70,110,1180,20,20,70,400,170,10,2590
LAUA,E09000001,350,30,2.5,10,20,30,180,10,10,220,140,60,10,1070
LAUA,E09000001,250,10,10,0,10,20,390,10,10,120,80,80,10,1010
LAUA,E09000001,70,2.5,0,0,0,2.5,30,2.5,10,10,10,30,10,160
LAUA,E09000002,920,2270,28640,11990,6720,4430,4740,1770,1810,2730,4680,2500,130,73350
LAUA,E09000002,30,70,1390,440,500,950,2210,680,120,150,160,20,40,6740
LAUA,E09000002,180,270,820,870,1930,1970,1980,670,810,590,620,550,20,11270
LAUA,E09000002,560,1240,25490,5410,3770,1110,510,330,640,1030,3050,1010,20,44140
LAUA,E09000002,130,600,850,3860,470,310,40,80,230,810,810,890,40,9130
LAUA,E09000002,20,80,70,1150,50,100,10,10,10,130,40,40,2.5,1700
LAUA,E09000002,2.5,20,10,270,2.5,2.5,0,0,2.5,20,10,0,2.5,330
LAUA,E09000002,2.5,2.5,20,2.5,2.5,0,0,2.5,2.5,2.5,2.5,0,2.5,40
LAUA,E09000002,0,0,0,0,0,0,0,2.5,2.5,2.5,2.5,0,10,20
LAUA,E09000003,10250,21550,20080,33890,7000,7930,8570,7300,8740,5740,7590,4860,480,143990
LAUA,E09000003,630,940,420,290,60,160,420,110,160,40,190,50,30,3490
LAUA,E09000003,760,1010,740,860,360,930,2160,1350,1090,220,260,190,40,9960
LAUA,E09000003,2610,3420,3080,4110,2140,2390,1860,2110,3110,990,1140,1130,80,28150
