"","flow","lon_o","lat_o","lon_d","lat_d"
"1",165,5.32482703977,1.81269310018,5.32482703977,1.81269310018
"2",73,5.32482703977,1.81269310018,5.48312914587,1.89881378587
"3",208,5.32482703977,1.81269310018,5.48454924928,1.88400149885
"4",158,5.32482703977,1.81269310018,5.51008971745,1.86310934433
"5",110,5.32482703977,1.81269310018,5.48667089326,1.8690334361
"6",100,5.32482703977,1.81269310018,5.49648733951,1.86561029647
"7",155,5.32482703977,1.81269310018,5.48139579699,1.8591109393
"8",117,5.32482703977,1.81269310018,5.46964944661,1.85757090864
"9",96,5.32482703977,1.81269310018,5.49064212259,1.85295466807
"10",123,5.32482703977,1.81269310018,5.50508530478,1.85162337946
"11",226,5.32482703977,1.81269310018,5.45635976952,1.84893291359
"12",102,5.32482703977,1.81269310018,5.47277303096,1.84854721421
"13",119,5.32482703977,1.81269310018,5.48785429527,1.84554689006
"14",65,5.32482703977,1.81269310018,5.50075964279,1.8423084704
"15",208,5.32482703977,1.81269310018,5.44028737858,1.8431686438
"16",143,5.32482703977,1.81269310018,5.44838196718,1.8445967281
"17",124,5.32482703977,1.81269310018,5.46552953175,1.84299075483
"18",116,5.32482703977,1.81269310018,5.48167560257,1.83256820243
"19",123,5.32482703977,1.81269310018,5.46104068,1.82741587314
"20",106,5.32482703977,1.81269310018,5.49508428504,1.82827519094
"21",112,5.32482703977,1.81269310018,5.44383738539,1.8351651511
"22",61,5.32482703977,1.81269310018,5.46653193106,1.83109224699
"23",207,5.32482703977,1.81269310018,5.24414922108,1.97000696067
"24",178,5.32482703977,1.81269310018,5.25971150284,1.96718558472
"25",111,5.32482703977,1.81269310018,5.27682624652,1.9595160093
"26",91,5.32482703977,1.81269310018,5.24409516462,1.95592818943
"27",164,5.32482703977,1.81269310018,5.26170787375,1.9550999634
"28",188,5.32482703977,1.81269310018,5.27246062236,1.95340003502
"29",210,5.32482703977,1.81269310018,5.22735985609,1.94776054616
"30",217,5.32482703977,1.81269310018,5.26484429977,1.94241252812
"31",163,5.32482703977,1.81269310018,5.28839224018,1.94154453943
"32",160,5.32482703977,1.81269310018,5.282357205,1.93569299889
"33",142,5.32482703977,1.81269310018,5.27071742884,1.93128870486
"34",243,5.32482703977,1.81269310018,5.25825978389,1.93028157174
"35",191,5.32482703977,1.81269310018,5.20325712455,1.93009732972
"36",258,5.32482703977,1.81269310018,5.27828318645,1.92351144531
"37",168,5.32482703977,1.81269310018,5.21813186517,1.92189923227
"38",116,5.32482703977,1.81269310018,5.23480991228,1.92439827312
"39",150,5.32482703977,1.81269310018,5.19703367751,1.91930194029
"40",271,5.32482703977,1.81269310018,5.26260062736,1.91902630224
"41",287,5.32482703977,1.81269310018,5.25158677403,1.92116703126
"42",133,5.32482703977,1.81269310018,5.21003184835,1.9159431667
"43",180,5.32482703977,1.81269310018,5.27904282619,1.91323834269
"44",225,5.32482703977,1.81269310018,5.25550379617,1.9076162889
"45",126,5.32482703977,1.81269310018,5.20442475437,1.90746135951
"46",267,5.32482703977,1.81269310018,5.23468781681,1.90795230022
"47",60,5.32482703977,1.81269310018,5.21558015372,1.90714061135
"48",241,5.32482703977,1.81269310018,5.2672806015,1.90620152904
"49",233,5.32482703977,1.81269310018,5.24820401135,1.89902529619
"50",340,5.32482703977,1.81269310018,5.26944049862,1.89657622757
"51",154,5.32482703977,1.81269310018,5.21558119818,1.89734194165
"52",148,5.32482703977,1.81269310018,5.22609444035,1.89700419623
"53",224,5.32482703977,1.81269310018,5.23148274143,1.89160310795
"54",333,5.32482703977,1.81269310018,5.26353017936,1.88507693355
"55",151,5.32482703977,1.81269310018,5.23576462449,1.88625032214
"56",302,5.32482703977,1.81269310018,5.2515886868,1.88671718992
"57",122,5.32482703977,1.81269310018,5.21790988441,1.88097114766
"58",159,5.32482703977,1.81269310018,5.24289393819,1.882052716
"59",358,5.32482703977,1.81269310018,5.25174412891,1.8721061227
"60",84,5.32482703977,1.81269310018,5.23330598503,1.87125602862
"61",154,5.32482703977,1.81269310018,5.24084631334,1.86769300211
"62",126,5.32482703977,1.81269310018,5.2471235227,1.86135618548
"63",104,5.32482703977,1.81269310018,5.48359630591,1.80392310808
"64",129,5.32482703977,1.81269310018,5.48003798303,1.79327714484
"65",167,5.32482703977,1.81269310018,5.49467212199,1.79400257878
"66",124,5.32482703977,1.81269310018,5.50744956462,1.78869205382
"67",104,5.32482703977,1.81269310018,5.50077841824,1.7817978239
"68",157,5.32482703977,1.81269310018,5.48275727745,1.78001263294
"69",151,5.32482703977,1.81269310018,5.4983687915,1.77250615204
"70",152,5.32482703977,1.81269310018,5.5273539607,1.7699723213
"71",316,5.32482703977,1.81269310018,5.4783024831,1.76924934924
"72",101,5.32482703977,1.81269310018,5.51324858491,1.76679431404
"73",257,5.32482703977,1.81269310018,5.49001019786,1.76628157207
"74",220,5.32482703977,1.81269310018,5.46965088679,1.76423869373
"75",249,5.32482703977,1.81269310018,5.50652212944,1.76282714387
"76",251,5.32482703977,1.81269310018,5.46347022201,1.75493497062
"77",187,5.32482703977,1.81269310018,5.50145705261,1.75235881856
"78",257,5.32482703977,1.81269310018,5.45269212349,1.75362716702
"79",236,5.32482703977,1.81269310018,5.51689925696,1.7488130156
"80",350,5.32482703977,1.81269310018,5.47931343981,1.747829871
"81",216,5.32482703977,1.81269310018,5.46748215611,1.74274597917
"82",230,5.32482703977,1.81269310018,5.45877856745,1.73784078773
"83",282,5.32482703977,1.81269310018,5.49668898906,1.73548179321
"84",255,5.32482703977,1.81269310018,5.47642878708,1.73205942643
"85",259,5.32482703977,1.81269310018,5.45083531721,1.72914686734
"86",315,5.32482703977,1.81269310018,5.46867261444,1.71710936923
"87",117,5.32482703977,1.81269310018,5.48646732965,1.71466816544
"88",153,5.32482703977,1.81269310018,5.1961208605,1.89691190963
"89",82,5.32482703977,1.81269310018,5.20666076283,1.89156514887
"90",143,5.32482703977,1.81269310018,5.19253376064,1.88678364116
"91",164,5.32482703977,1.81269310018,5.17633435193,1.88209928154
"92",96,5.32482703977,1.81269310018,5.20391103722,1.87860628488
"93",110,5.32482703977,1.81269310018,5.18979780673,1.87545857205
"94",152,5.32482703977,1.81269310018,5.17819019991,1.86969375278
"95",124,5.32482703977,1.81269310018,5.16664302654,1.871312799
"96",58,5.32482703977,1.81269310018,5.21307993936,1.86729285863
"97",70,5.32482703977,1.81269310018,5.22480570479,1.86449005052
"98",99,5.32482703977,1.81269310018,5.18491003372,1.86231995931
"99",113,5.32482703977,1.81269310018,5.17044286024,1.8587419826
"100",98,5.32482703977,1.81269310018,5.21367200467,1.85741600566
"101",187,5.32482703977,1.81269310018,5.23476842282,1.85579707768
"102",60,5.32482703977,1.81269310018,5.16206564306,1.85582786571
"103",160,5.32482703977,1.81269310018,5.19535678806,1.85521985054
"104",79,5.32482703977,1.81269310018,5.17632948866,1.84997323972
"105",104,5.32482703977,1.81269310018,5.18994681466,1.84864256039
"106",44,5.32482703977,1.81269310018,5.20618907272,1.84950025809
"107",175,5.32482703977,1.81269310018,5.2292042427,1.84585863134
"108",319,5.32482703977,1.81269310018,5.24052739144,1.846476988
"109",91,5.32482703977,1.81269310018,5.22308415231,1.84323292746
"110",72,5.32482703977,1.81269310018,5.21454766244,1.84324777595
"111",77,5.32482703977,1.81269310018,5.1874853665,1.84135068695
"112",45,5.32482703977,1.81269310018,5.20089813016,1.83435281829
"113",259,5.32482703977,1.81269310018,5.24908404153,1.8389679372
"114",93,5.32482703977,1.81269310018,5.17974718587,1.83750709273
"115",162,5.32482703977,1.81269310018,5.2350750593,1.83925831613
"116",126,5.32482703977,1.81269310018,5.21766819408,1.833918386
"117",263,5.32482703977,1.81269310018,5.24171375678,1.83322343592
"118",158,5.32482703977,1.81269310018,5.22933804806,1.8320307853
"119",97,5.32482703977,1.81269310018,5.25171431387,1.83118703389
"120",161,5.32482703977,1.81269310018,5.41919007867,1.72435281078
"121",280,5.32482703977,1.81269310018,5.44232340835,1.7141616304
"122",217,5.32482703977,1.81269310018,5.35926886928,1.70683392907
"123",298,5.32482703977,1.81269310018,5.34344372071,1.70694228965
"124",460,5.32482703977,1.81269310018,5.37164590191,1.70313628988
"125",616,5.32482703977,1.81269310018,5.43264114121,1.69902216697
"126",436,5.32482703977,1.81269310018,5.4046593222,1.70058887117
"127",151,5.32482703977,1.81269310018,5.34848402031,1.69849718152
"128",333,5.32482703977,1.81269310018,5.39003754769,1.69491451628
"129",366,5.32482703977,1.81269310018,5.37937331554,1.69329895786
"130",320,5.32482703977,1.81269310018,5.36196671299,1.69577075973
"131",89,5.32482703977,1.81269310018,5.46774659765,1.69414481232
"132",187,5.32482703977,1.81269310018,5.3517633396,1.69137651137
"133",291,5.32482703977,1.81269310018,5.415328755,1.69279183098
"134",314,5.32482703977,1.81269310018,5.40227082982,1.68607946637
"135",115,5.32482703977,1.81269310018,5.48661281068,1.68148739918
"136",246,5.32482703977,1.81269310018,5.41542332656,1.68081022185
"137",282,5.32482703977,1.81269310018,5.43508574977,1.67951579687
"138",157,5.32482703977,1.81269310018,5.46404609583,1.67822018223
"139",256,5.32482703977,1.81269310018,5.37255314196,1.67440013586
"140",430,5.32482703977,1.81269310018,5.44765226632,1.6728938558
"141",113,5.32482703977,1.81269310018,5.42628061577,1.66982966231
"142",246,5.32482703977,1.81269310018,5.40116990104,1.66903476128
"143",284,5.32482703977,1.81269310018,5.45894389154,1.66567267109
"144",365,5.32482703977,1.81269310018,5.3838638832,1.6604564691
"145",295,5.32482703977,1.81269310018,5.445074373,1.65829015071
"146",168,5.32482703977,1.81269310018,5.47274946507,1.6545134946
"147",190,5.32482703977,1.81269310018,5.42235132171,1.64793240347
"148",332,5.32482703977,1.81269310018,5.45832763202,1.64818517694
"149",280,5.32482703977,1.81269310018,5.47432705779,1.63305414492
"150",187,5.32482703977,1.81269310018,5.27912725759,1.86726436979
"151",512,5.32482703977,1.81269310018,5.26612694162,1.86335343937
"152",235,5.32482703977,1.81269310018,5.28884747073,1.85690045335
"153",414,5.32482703977,1.81269310018,5.25825291607,1.85771051782
"154",465,5.32482703977,1.81269310018,5.2479781846,1.85450561312
"155",337,5.32482703977,1.81269310018,5.27754022713,1.85353544085
"156",173,5.32482703977,1.81269310018,5.28505667194,1.8506869206
"157",539,5.32482703977,1.81269310018,5.26757640068,1.85085627708
"158",224,5.32482703977,1.81269310018,5.29332504159,1.84940832372
"159",685,5.32482703977,1.81269310018,5.25575121274,1.8491650947
"160",567,5.32482703977,1.81269310018,5.27089711009,1.84765405081
"161",277,5.32482703977,1.81269310018,5.28137312547,1.84603298181
"162",414,5.32482703977,1.81269310018,5.24926117842,1.84635243337
"163",333,5.32482703977,1.81269310018,5.27373229668,1.84462073907
"164",240,5.32482703977,1.81269310018,5.29675722117,1.84479315328
"165",632,5.32482703977,1.81269310018,5.25803511162,1.84326608867
"166",367,5.32482703977,1.81269310018,5.26923522588,1.84047219388
"167",324,5.32482703977,1.81269310018,5.28206166721,1.83999327103
"168",153,5.32482703977,1.81269310018,5.29358079472,1.83919018558
"169",209,5.32482703977,1.81269310018,5.25770013208,1.83785115443
"170",221,5.32482703977,1.81269310018,5.28792838992,1.83203771178
"171",103,5.32482703977,1.81269310018,5.29890127468,1.83329505254
"172",118,5.32482703977,1.81269310018,5.291927676,1.8275229481
"173",81,5.32482703977,1.81269310018,5.30621878131,1.82671117959
"174",97,5.32482703977,1.81269310018,5.30235016516,1.82475977497
"175",158,5.32482703977,1.81269310018,5.29550424844,1.82038357623
"176",121,5.32482703977,1.81269310018,5.3101248817,1.81974945218
"177",253,5.32482703977,1.81269310018,5.3036714957,1.81625483058
"178",174,5.32482703977,1.81269310018,5.33140769784,1.70249529998
"179",153,5.32482703977,1.81269310018,5.318703069,1.70263278743
"180",104,5.32482703977,1.81269310018,5.31169208427,1.69564068562
"181",119,5.32482703977,1.81269310018,5.30505264974,1.69151921104
"182",83,5.32482703977,1.81269310018,5.32346043739,1.69161735747
"183",109,5.32482703977,1.81269310018,5.32878689422,1.68850696015
"184",131,5.32482703977,1.81269310018,5.33689553133,1.68871797333
"185",138,5.32482703977,1.81269310018,5.34378835694,1.68516555834
"186",99,5.32482703977,1.81269310018,5.31523245143,1.68372534453
"187",74,5.32482703977,1.81269310018,5.32432090799,1.68141109132
"188",90,5.32482703977,1.81269310018,5.30963450899,1.67850980981
"189",94,5.32482703977,1.81269310018,5.33048686888,1.67487562074
"190",136,5.32482703977,1.81269310018,5.34618680443,1.67263453371
"191",84,5.32482703977,1.81269310018,5.31847448549,1.67193066361
"192",65,5.32482703977,1.81269310018,5.30574117545,1.67010518123
"193",147,5.32482703977,1.81269310018,5.33838242289,1.66841872085
"194",134,5.32482703977,1.81269310018,5.36016128362,1.66715411888
"195",57,5.32482703977,1.81269310018,5.31119213721,1.66259087756
"196",128,5.32482703977,1.81269310018,5.32341180259,1.66429025058
"197",128,5.32482703977,1.81269310018,5.34700005202,1.66276378934
"198",347,5.32482703977,1.81269310018,5.33465932521,1.66151934175
"199",294,5.32482703977,1.81269310018,5.33911160177,1.65134597769
"200",156,5.32482703977,1.81269310018,5.31600609789,1.65406781011
"201",84,5.32482703977,1.81269310018,5.3718913038,1.65416684716
"202",126,5.32482703977,1.81269310018,5.36050292274,1.64717870622
"203",279,5.32482703977,1.81269310018,5.32633024482,1.65008564359
"204",104,5.32482703977,1.81269310018,5.31517843535,1.63893838518
"205",245,5.32482703977,1.81269310018,5.33355439032,1.63849180122
"206",25,5.32482703977,1.81269310018,5.37939187546,1.63527381163
"207",216,5.32482703977,1.81269310018,5.32457871055,1.62826315797
